Place,Rank,First,Last,Full Name,Adjust,Score,Money,,Median,59.5,,,
1,1,"Scott ""Bizzle""",Badovick,"Scott ""Bizzle"" Badovick",-3.94,48,$9.00,,,,,,
2,2,Dylan,Cantu,Dylan Cantu,-4.97,49,$25.00,,,,,,
3,2,Harper,Alexander,Harper Alexander,-4.20,49,$10.00,,,,,,
4,4,Beau,Griffin,Beau Griffin,-5.59,50,$49.00,,,,,,
5,4,Mike,Figueroa,Mike Figueroa,-4.60,50,$17.00,,,,,,
6,6,Filipe,Wong,Filipe Wong,-5.67,51,$73.00,,,,,,
7,6,Ben,Fox,Ben Fox,-2.83,51,,,,,,,
8,8,Greg,Breazeale,Greg Breazeale,-1.34,52,,,,,,,
9,9,Jason,Tindell,Jason Tindell,-6.32,53,$103.00,,,,,,
10,9,Mike,Degnan,Mike Degnan,-4.30,53,$12.00,,,,,,
11,9,Eric,Leaf,Eric Leaf,-2.23,53,,,,,,,
12,9,Will,Borger,Will Borger,-2.00,53,,,,,,,
13,9,Todd,Kurnat,Todd Kurnat,0.25,53,,,,,,,
14,9,Jerry,Showman,Jerry Showman,1.87,53,,,,,,,
15,15,Aaron,Sorber,Aaron Sorber,-4.94,54,$20.00,,,,,,
16,15,Andy,Rothschild,Andy Rothschild,-4.38,54,$13.00,,,,,,
17,15,Wilson,Linker,Wilson Linker,-0.29,54,,,,,,,
18,15,Booth,Burrows,Booth Burrows,-0.19,54,,,,,,,
19,15,Doug,Mitchell,Doug Mitchell,-0.01,54,,,,,,,
20,15,Joe,Dannels,Joe Dannels,0.58,54,,,,,,,
21,21,KC,Seymour,KC Seymour,-3.33,55,$7.00,,,,,,
22,21,Daniel,Charlip-Blumlein,Daniel Charlip-Blumlein,-2.97,55,5,,,,,,
23,21,Eldridge,Manchester,Eldridge Manchester,-2.34,55,,,,,,,
24,21,Derek,Phelan,Derek Phelan,0.45,55,,,,,,,
25,21,Marquis,Mallen,Marquis Mallen,1.43,55,,,,,,,
26,21,Danny,Kerfeld,Danny Kerfeld,3.56,55,,,,,,,
27,27,Nelson,Vasquez,Nelson Vasquez,-0.53,56,,,,,,,
28,27,Chase,Lawler,Chase Lawler,0.60,56,,,,,,,
29,27,Vince,Mardigras,Vince Mardigras,1.63,56,,,,,,,
30,30,Scott,McClellan,Scott McClellan,-3.27,57,$6.00,,,,,,
31,30,Bob,Wigersma,Bob Wigersma,-1.96,57,,,,,,,
32,30,Luiz,Celeste,Luiz Celeste,1.01,57,,,,,,,
33,30,Matt,Brenner,Matt Brenner,1.33,57,,,,,,,
34,30,Marco,Benites,Marco Benites,2.72,57,,,,,,,
35,30,Brandon,Lohmann,Brandon Lohmann,3.35,57,,,,,,,
36,36,Shifukato,Yoshi,Shifukato Yoshi,-5.28,58,$34.00,,,,,,
37,36,Mitch,Grummon,Mitch Grummon,-2.90,58,,,,,,,
38,36,Martin,Schuler,Martin Schuler,-2.81,58,,,,,,,
39,36,Dave,McGrath,Dave McGrath,-0.69,58,,,,,,,
40,36,Life,Gibson,Life Gibson,0.44,58,,,,,,,
41,41,Kevin,Smeds,Kevin Smeds,-1.90,59,,,,,,,
42,41,John,Opsal,John Opsal,-1.00,59,,,,,,,
43,41,Matt,Duncanson,Matt Duncanson,0.04,59,,,,,,,
44,41,Niel,Jones,Niel Jones,0.76,59,,,,,,,
45,41,Juni,Martins,Juni Martins,1.03,59,,,,,,,
46,41,Bryan,Schmitz,Bryan Schmitz,1.25,59,,,,,,,
47,41,Edward,Bigarani,Edward Bigarani,1.26,59,,,,,,,
48,41,Jesse,Miller,Jesse Miller,1.39,59,,,,,,,
49,41,Andy,Hale,Andy Hale,3.78,59,,,,,,,
50,41,Gregg,Sherbon,Gregg Sherbon,,59,,,,,,,
51,51,Nellio,Fontes,Nellio Fontes,-2.43,60,,,,,,,
52,51,Daniel,Tarango,Daniel Tarango,-2.25,60,,,,,,,
53,51,Dennis,Condos,Dennis Condos,0.28,60,,,,,,,
54,51,Sean,Pierson,Sean Pierson,1.00,60,,,,,,,
55,51,William,Jerpe,William Jerpe,1.90,60,,,,,,,
56,51,Sean,Saxton,Sean Saxton,4.24,60,,,,,,,
57,51,Chris,Hart,Chris Hart,4.87,60,,,,,,,
58,51,Chris,Alreck,Chris Alreck,,60,,,,,,,
59,59,Joe,Canose,Joe Canose,-2.82,61,,,,,,,
60,59,Alan,Chambless,Alan Chambless,-1.65,61,,,,,,,
61,59,Jake,Ward,Jake Ward,-0.08,61,,,,,,,
62,59,Sylvain,Pelletier,Sylvain Pelletier,0.57,61,,,,,,,
63,59,Tom,Bell,Tom Bell,0.86,61,,,,,,,
64,59,Mike,Mardigras,Mike Mardigras,1.02,61,,,,,,,
65,59,Justin,Box,Justin Box,2.27,61,,,,,,,
66,59,Mick,Coronel,Mick Coronel,3.12,61,,,,,,,
67,59,Chris,Johengen,Chris Johengen,4.83,61,,,,,,,
68,68,Dan,Goodman,Dan Goodman,-2.63,62,,,,,,,
69,68,Oliver,Uribe,Oliver Uribe,0.12,62,,,,,,,
70,68,Nate,Stone,Nate Stone,2.95,62,,,,,,,
71,68,Chris,Vanleemput,Chris Vanleemput,4.03,62,,,,,,,
72,68,Michael,Courvoisier,Michael Courvoisier,5.52,62,,,,,,,
73,73,Candace,Romaine,Candace Romaine,-0.55,63,,,,,,,
74,73,Dave,Van Dollen,Dave Van Dollen,0.58,63,,,,,,,
75,73,Glenn,Murray,Glenn Murray,4.09,63,,,,,,,
76,73,Brett,Allen,Brett Allen,4.25,63,,,,,,,
77,73,Chris,Tirrell,Chris Tirrell,6.11,63,,,,,,,
78,78,Warren,Sedar,Warren Sedar,4.05,64,,,,,,,
79,78,Thor,Scordelis,Thor Scordelis,4.50,64,,,,,,,
80,78,Daniel,Dodell,Daniel Dodell,4.64,64,,,,,,,
81,78,Mike,Hudson,Mike Hudson,7.47,64,,,,,,,
82,82,Cory,Sprous,Cory Sprous,5.10,65,,,,,,,
83,83,Erica,Norton,Erica Norton,2.45,66,,,,,,,
84,83,Steven,Cole,Steven Cole,3.67,66,,,,,,,
85,83,Ernie,Rogers,Ernie Rogers,13.52,66,,,,,,,
86,86,Scott,Maxey,Scott Maxey,0.62,67,,,,,,,
87,86,Alex,Georgopoulos,Alex Georgopoulos,4.94,67,,,,,,,
88,86,Angel,Diaz,Angel Diaz,7.68,67,,,,,,,
89,86,Steven,P.,Steven P.,9.53,67,,,,,,,
90,86,Leo,Austin-Muehleck,,,67,,,,,,,
91,91,Michael,Infusino,Michael Infusino,6.48,68,,,,,,,
92,92,Pento,Malekzadeh,Pento Malekzadeh,6.31,69,,,,,,,
93,92,Joe,Donahue,Joe Donahue,8.07,69,,,,,,,
94,94,Andrew,Stockdale,Andrew Stockdale,0.67,73,,,,,,,
95,95,Javier,Bastidas,Javier Bastidas,3.26,75,,,,,,,
96,95,Ashley,Foust,Ashley Foust,4.07,75,,,,,,,
97,95,Albert,Sandoval,Albert Sandoval,4.65,75,,,,,,,
98,98,Phoenix,Sprous,Phoenix Sprous,5.46,76,,,,,,,
99,99,Brent,Snead,Brent Snead,,83,,,,,,,
100,100,William,Axelrod,William Axelrod,,92,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
