Place,Rank,First,Last,Full Name,Adjust,Score,WM,MV,Money,,Median,59.0,,,
1,1,Greg,Breazeale,Greg Breazeale, (4.17),47,59, (12.00),$18.00 ,,,,,,
2,1,Bryan,Banta,Bryan Banta, (3.68),47,59, (12.00),$12.00 ,,,,,,
3,1,Jeff,Faes,Jeff Faes, (2.28),47,59, (12.00),$5.00 ,,,,,,
4,4,Booth,Burrows,Booth Burrows, (4.16),48,59, (11.00),$15.00 ,,,,,,
5,4,Mike,Peremba,Mike Peremba, (3.31),48,59, (11.00),$11.00 ,,,,,,
6,6,Tristan,Kolkhorst,Tristan Kolkhorst, (6.57),50,59, (9.00),$85.00 ,,,,,,
7,6,George,Ross,George Ross, (2.66),50,59, (9.00),$7.00 ,,,,,,
8,6,Hunt,Hyde,Hunt Hyde, (0.90),50,59, (9.00),,,,,,,
9,9,Dennis,Warsen,Dennis Warsen, (5.48),51,59, (8.00),$59.00 ,,,,,,
10,9,Jon,Toby,Jon Toby, (5.39),51,59, (8.00),$41.00 ,,,,,,
11,9,Shawn,Mercy,Shawn Mercy, (4.63),51,59, (8.00),$30.00 ,,,,,,
12,9,Daniel,Christensen,Daniel Christensen, (4.36),51,59, (8.00),$21.00 ,,,,,,
13,9,Todd,Kurnat,Todd Kurnat, (0.08),51,59, (8.00),,,,,,,
14,9,Patrick,Brown,Patrick Brown, 4.38 ,51,59, (8.00),,,,,,,
15,15,Zachary,Looper-Friedman,Zachary Looper-Friedman, (2.50),52,59, (7.00),,,,,,,
16,15,Sean,Jack,Sean Jack, 0.88 ,52,59, (7.00),,,,,,,
17,15,David,Lackey,David Lackey, 1.24 ,52,59, (7.00),,,,,,,
18,18,Dan,Santini,Dan Santini, (0.83),53,59, (6.00),,,,,,,
19,18,Stick,Williams,Stick Williams, 3.72 ,53,59, (6.00),,,,,,,
20,20,Jonah,Schmidt,Jonah Schmidt, (2.30),54,59, (5.00),,,,,,,
21,20,Warren,Sedar,Warren Sedar, (1.85),54,59, (5.00),,,,,,,
22,22,Derek,Phelan,Derek Phelan, (2.79),55,59, (4.00),$9.00 ,,,,,,
23,22,Glenn,Murray,Glenn Murray, (2.52),55,59, (4.00),,,,,,,
