Place,Rank,First,Last,Full Name,Adjust,Score,WM,MV,Money,,Median,56.5,
1,1,Patrick,Brown,Patrick Brown, (2.13),42,56.5, (14.50),$22.00 ,,,,
2,2,James,Rossetti,James Rossetti, 0.07 ,50,56.5, (6.50),$9.00 ,,,,
3,2,Danny,Kerfeld,Danny Kerfeld, 0.57 ,50,56.5, (6.50),$7.00 ,,,,
4,2,David,Lackey,David Lackey, 1.83 ,50,56.5, (6.50),,,,,
5,5,Booth,Burrows,Booth Burrows, 1.97 ,51,56.5, (5.50),,,,,
6,6,Evan,Sjostrom,Evan Sjostrom, 1.81 ,53,56.5, (3.50),,,,,
7,6,Bryan,Banta,Bryan Banta, 5.37 ,53,56.5, (3.50),,,,,
8,8,Dylan,Cantu,Dylan Cantu, (0.12),54,56.5, (2.50),$11.00 ,,,,
9,8,Shawn,Mercy,Shawn Mercy, 1.51 ,54,56.5, (2.50),,,,,
10,8,Mike,Harter,Mike Harter, 2.45 ,54,56.5, (2.50),,,,,
11,11,Dan,Santini,Dan Santini, 3.45 ,55,56.5, (1.50),,,,,
12,12,Ernie,Rogers,Ernie Rogers, 2.88 ,56,56.5, (0.50),,,,,
13,12,Josh,Haberman,Josh Haberman, 3.60 ,56,56.5, (0.50),,,,,
14,12,Scott,Kay,Scott Kay, 4.18 ,56,56.5, (0.50),,,,,
15,15,Matt,Friesen,Matt Friesen, (3.30),57,56.5, 0.50 ,$37.00 ,,,,
16,15,Jabir,Ponce,Jabir Ponce, 3.34 ,57,56.5, 0.50 ,,,,,
17,17,David,Falzone,David Falzone, 0.83 ,58,56.5, 1.50 ,$5.00 ,,,,
18,17,Steve,Erle,Steve Erle, 3.48 ,58,56.5, 1.50 ,,,,,
19,19,Sean,Jack,Sean Jack, 10.47 ,59,56.5, 2.50 ,,,,,
20,20,Jon,Toby,Jon Toby, 6.65 ,60,56.5, 3.50 ,,,,,
21,20,Bobby,Hoellwarth,Bobby Hoellwarth, 6.83 ,60,56.5, 3.50 ,,,,,
22,22,Joe,Busby,Joe Busby, 5.19 ,62,56.5, 5.50 ,,,,,
23,23,Nick,Friesen,Nick Friesen, 2.14 ,64,56.5, 7.50 ,,,,,
24,24,Derek,Phelan,Derek Phelan, 10.17 ,65,56.5, 8.50 ,,,,,
25,25,Leon,Geer,Leon Geer, (1.12),66,56.5, 9.50 ,$16.00 ,,,,
26,25,Mike,Nejad,Mike Nejad, 10.94 ,66,56.5, 9.50 ,,,,,
27,27,Chris,Isom,Chris Isom, 5.19 ,67,56.5, 10.50 ,,,,,
28,27,Brad,King,Brad King, 5.28 ,67,56.5, 10.50 ,,,,,
29,29,Joel,Tondreau,Joel Tondreau,,DNF,56.5,  ,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
