Place,Rank,First,Last,Full Name,Adjust,Score,WM,MV,Money,,Median,60.0
1,1,Scott,Kay,Scott Kay, (8.23),47,60, (13.00),$56.00 ,,,
2,2,Danny,Kerfeld,Danny Kerfeld, (1.04),51,60, (9.00),,,,
3,2,Jeff,Faes,Jeff Faes, 1.44 ,51,60, (9.00),,,,
4,4,Bryan,Coggins,Bryan Coggins, (5.53),52,60, (8.00),$28.00 ,,,
5,4,Jon,Toby,Jon Toby, (4.81),52,60, (8.00),$17.00 ,,,
6,4,Greg,Breazeale,Greg Breazeale, 1.05 ,52,60, (8.00),,,,
7,7,Bob,Wigersma,Bob Wigersma, (4.35),53,60, (7.00),$9.00 ,,,
8,7,Matt,Brenner,Matt Brenner, (2.28),53,60, (7.00),,,,
9,7,"Scott ""Bizzle""",Badovick,"Scott ""Bizzle"" Badovick", (0.48),53,60, (7.00),,,,
10,7,Doug,Jensen,Doug Jensen, 1.46 ,53,60, (7.00),,,,
11,7,Jeff,Fiedler,Jeff Fiedler, 1.78 ,53,60, (7.00),,,,
12,7,Mike,Peremba,Mike Peremba, 2.05 ,53,60, (7.00),,,,
13,13,Sean,Scruby,Sean Scruby, (4.70),54,60, (6.00),$14.00 ,,,
14,13,Shawn,Mercy,Shawn Mercy, (2.09),54,60, (6.00),,,,
15,13,Booth,Burrows,Booth Burrows, 0.53 ,54,60, (6.00),,,,
16,16,Matt,Barclay,Matt Barclay, (3.70),55,60, (5.00),$6.00 ,,,
17,16,Jesse,Kerfeld,Jesse Kerfeld, (0.86),55,60, (5.00),,,,
18,16,Les,Swift,Les Swift, (0.36),55,60, (5.00),,,,
19,19,Daniel,Tarango,Daniel Tarango, (4.63),56,60, (4.00),$11.00 ,,,
20,19,Brian,Kiley,Brian Kiley, (3.91),56,60, (4.00),$8.00 ,,,
21,19,Joel,Tondreau,Joel Tondreau, (1.89),56,60, (4.00),,,,
22,22,Kellen,Martin,Kellen Martin, (8.40),57,60, (3.00),$82.00 ,,,
23,22,Kevin,Smeds,Kevin Smeds, (3.00),57,60, (3.00),$5.00 ,,,
24,22,Tony,Newman,Tony Newman, (1.29),57,60, (3.00),,,,
25,22,Steve,Erle,Steve Erle, (0.98),57,60, (3.00),,,,
26,22,Joel,Johnson,Joel Johnson, (0.53),57,60, (3.00),,,,
27,22,V,Allario,V Allario, -   ,57,60, (3.00),,,,
28,22,Gregg,LaComb,Gregg LaComb, 1.05 ,57,60, (3.00),,,,
29,22,David,Lackey,David Lackey, 5.73 ,57,60, (3.00),,,,
30,30,David,Haning,David Haning, (6.10),58,60, (2.00),$39.00 ,,,
31,30,Joe,Busby,Joe Busby, (2.32),58,60, (2.00),,,,
32,30,Drake,Birkie,Drake Birkie, (1.01),58,60, (2.00),,,,
33,30,Dennis,Ainsworth,Dennis Ainsworth,,58,60, (2.00),,,,
34,34,Billy,Manger,Billy Manger, (1.27),59,60, (1.00),,,,
35,34,Bobby,Hoellwarth,Bobby Hoellwarth, 1.79 ,59,60, (1.00),,,,
36,36,James,Teets,James Teets, (2.05),60,60, -   ,,,,
37,36,Dennis,Condos,Dennis Condos, 0.95 ,60,60, -   ,,,,
38,36,Life,Gibson,Life Gibson, 1.71 ,60,60, -   ,,,,
39,36,Jeremiah,Steinberg,Jeremiah Steinberg, 4.77 ,60,60, -   ,,,,
40,36,Bryan,Banta,Bryan Banta, 8.19 ,60,60, -   ,,,,
41,36,Andrew,Choate,Andrew Choate,,60,60, -   ,,,,
42,42,Brad,King,Brad King, (5.35),61,60, 1.00 ,$20.00 ,,,
43,42,Kris,Mickelson,Kris Mickelson, 4.15 ,61,60, 1.00 ,,,,
44,42,Colin,Sanders,Colin Sanders, 4.38 ,61,60, 1.00 ,,,,
45,42,Matt,Roulette,Matt Roulette,,61,60, 1.00 ,,,,
46,46,Ilya,Alexakhin,Ilya Alexakhin, 0.02 ,62,60, 2.00 ,,,,
47,46,Josh,Roa,Josh Roa, 0.60 ,62,60, 2.00 ,,,,
48,46,Mike,Ridley,Mike Ridley, 1.42 ,62,60, 2.00 ,,,,
49,46,Robert,Nguyen,Robert Nguyen, 2.73 ,62,60, 2.00 ,,,,
50,46,Aurelius,Lewicki,Aurelius Lewicki, 4.79 ,62,60, 2.00 ,,,,
51,46,Jason,Tindell,Jason Tindell, 4.79 ,62,60, 2.00 ,,,,
52,46,Jonah,Schmidt,Jonah Schmidt, 5.15 ,62,60, 2.00 ,,,,
53,46,Mike,Harter,Mike Harter, 7.00 ,62,60, 2.00 ,,,,
54,54,Ron,Schreier,Ron Schreier, 4.85 ,63,60, 3.00 ,,,,
55,54,Misha,Wilkinson,Misha Wilkinson,,63,60, 3.00 ,,,,
