Place,Rank,First,Last,Full Name,Adjust,Score,Money,,Median,59.0,,,
1,1,Vince,Mardigras,Vince Mardigras,-8.41,46,$88.00,,,,,,
2,2,Jeff,Faes,Jeff Faes,-3.00,47,$22.00,,,,,,
3,3,Andy,Hale,Andy Hale,-5.40,50,$61.00,,,,,,
4,3,Harper,Alexander,Harper Alexander,-2.61,50,$12.00,,,,,,
5,3,"Scott ""Bizzle""",Badovick,"Scott ""Bizzle"" Badovick",-1.71,50,,,,,,,
6,6,Marquis,Mallen,Marquis Mallen,-1.92,51,$5.00,,,,,,
7,7,Matt,Brenner,Matt Brenner,-3.45,52,$30.00,,,,,,
8,8,Chase,Lawler,Chase Lawler,-2.18,53,$8.00,,,,,,
9,8,Eric,Leaf,Eric Leaf,-2.18,53,$8.00,,,,,,
10,8,Derek,Phelan,Derek Phelan,-0.96,53,,,,,,,
11,8,Rob,Byers,Rob Byers,-0.87,53,,,,,,,
12,8,Greg,Breazeale,Greg Breazeale,0.08,53,,,,,,,
13,13,Booth,Burrows,Booth Burrows,0.22,54,,,,,,,
14,13,Sean,Jack,Sean Jack,1.71,54,,,,,,,
15,13,Danny,Kerfeld,Danny Kerfeld,3.51,54,,,,,,,
16,16,Campbell,Smith,Campbell Smith,-2.88,55,$18.00,,,,,,
17,16,Bob,Proctor,Bob Proctor,-1.21,55,,,,,,,
18,16,Travis,Callahan,Travis Callahan,1.22,55,,,,,,,
19,16,Brandon,Lohmann,Brandon Lohmann,1.94,55,,,,,,,
20,20,Trevor,Duckworth,Trevor Duckworth,1.37,56,,,,,,,
21,20,Wilson,Linker,Wilson Linker,2.25,56,,,,,,,
22,20,Joshua,Winer,Joshua Winer,,56,,,,,,,
23,23,Juni,Martins,Juni Martins,-0.74,57,,,,,,,
24,23,Edward,Bigarani,Edward Bigarani,-0.56,57,,,,,,,
25,23,Steven,P.,Steven P.,-0.16,57,,,,,,,
26,23,Bill,Shea,Bill Shea,0.08,57,,,,,,,
27,23,Chris,Isom,Chris Isom,1.38,57,,,,,,,
28,23,Will,Borger,Will Borger,2.77,57,,,,,,,
29,23,Marco,Benites,Marco Benites,3.31,57,,,,,,,
30,23,Joe,Kestler,Joe Kestler,3.63,57,,,,,,,
31,31,Glenn,Murray,Glenn Murray,-0.60,58,,,,,,,
32,31,Mike,Degnan,Mike Degnan,1.21,58,,,,,,,
33,31,Mike,Hudson,Mike Hudson,2.11,58,,,,,,,
34,31,Chris,Johengen,Chris Johengen,2.60,58,,,,,,,
35,31,Luke,Walton,Luke Walton,3.50,58,,,,,,,
36,31,Joe,Dannels,Joe Dannels,5.53,58,,,,,,,
37,37,Steven,Cole,Steven Cole,-3.47,59,$43.00,,,,,,
38,37,Dave,Van Dollen,Dave Van Dollen,-2.51,59,$11.00,,,,,,
39,37,Ryan,Santos,Ryan Santos,-0.32,59,,,,,,,
40,37,Daniel,Dodell,Daniel Dodell,-0.23,59,,,,,,,
41,37,Thor,Scordelis,Thor Scordelis,-0.23,59,,,,,,,
42,37,Mike,Mardigras,Mike Mardigras,-0.18,59,,,,,,,
43,37,Niel,Jones,Niel Jones,1.62,59,,,,,,,
44,37,Sean,Saxton,Sean Saxton,4.10,59,,,,,,,
45,37,Andy,Leaf,Andy Leaf,5.81,59,,,,,,,
46,37,Matt,Angel,Matt Angel,6.98,59,,,,,,,
47,47,Andy,Rothschild,Andy Rothschild,2.53,60,,,,,,,
48,47,Mick,Coronel,Mick Coronel,2.62,60,,,,,,,
49,47,Michael,Lopez,Michael Lopez,2.80,60,,,,,,,
50,47,Daniel,Humphreys,Daniel Humphreys,3.03,60,,,,,,,
51,51,Mitch,Grummon,Mitch Grummon,-0.10,61,,,,,,,
52,51,Scott,McClellan,Scott McClellan,1.06,61,,,,,,,
53,51,Justin,Box,Justin Box,2.59,61,,,,,,,
54,51,Bob,Wigersma,Bob Wigersma,2.99,61,,,,,,,
55,51,Eldridge,Manchester,Eldridge Manchester,4.52,61,,,,,,,
56,51,Nathan,La Chance,Nathan La Chance,7.72,61,,,,,,,
57,57,Dan,Goodman,Dan Goodman,-2.85,62,$15.00,,,,,,
58,57,Nellio,Fontes,Nellio Fontes,-0.20,62,,,,,,,
59,57,Andy,Nguyen,Andy Nguyen,1.29,62,,,,,,,
60,57,Dylan,Cantu,Dylan Cantu,8.99,62,,,,,,,
61,61,Brandon,Saker,Brandon Saker,0.76,63,,,,,,,
62,61,Frankie,Doherty,Frankie Doherty,2.70,63,,,,,,,
63,61,Jake,Ward,Jake Ward,3.10,63,,,,,,,
64,61,Matt,Duncanson,Matt Duncanson,4.54,63,,,,,,,
65,61,Brett,Allen,Brett Allen,4.75,63,,,,,,,
66,61,Dave,McGrath,Dave McGrath,4.81,63,,,,,,,
67,61,Chris,Tirrell,Chris Tirrell,6.70,63,,,,,,,
68,68,Chris,Vanleemput,Chris Vanleemput,7.89,65,,,,,,,
69,69,Val,St Louis,Val St Louis,-2.14,66,$6.00,,,,,,
70,69,Jesse,Miller,Jesse Miller,9.25,66,,,,,,,
71,71,Joe,Canose,Joe Canose,3.40,67,,,,,,,
72,71,Sean,Pierson,Sean Pierson,8.59,67,,,,,,,
73,73,Nick,Klein,Nick Klein,6.04,68,,,,,,,
74,73,Josh,Babiak,Josh Babiak,9.72,68,,,,,,,
75,75,Randy,Waters,Randy Waters,3.67,69,,,,,,,
76,75,Sylvain,Pelletier,Sylvain Pelletier,7.20,69,,,,,,,
77,75,Daniel,Johengen,Daniel Johengen,10.14,69,,,,,,,
78,78,Jay,Harper,Jay Harper,3.50,71,,,,,,,
79,78,Dave,Headd,Dave Headd,7.95,71,,,,,,,
80,80,Phoenix,Sprous,Phoenix Sprous,3.90,72,,,,,,,
81,81,Hugh,Harrell,Hugh Harrell,6.49,73,,,,,,,
82,82,Sean,Frick,Sean Frick,11.25,74,,,,,,,
83,83,Troy,Heine,Troy Heine,3.20,78,,,,,,,
84,83,Andrew,Stockdale,Andrew Stockdale,3.37,78,,,,,,,
85,85,,, ,,,,,,,,,
86,85,,, ,,,,,,,,,
87,85,,, ,,,,,,,,,
88,85,,, ,,,,,,,,,
89,85,,, ,,,,,,,,,
90,85,,, ,,,,,,,,,
91,85,,, ,,,,,,,,,
92,85,,, ,,,,,,,,,
93,85,,, ,,,,,,,,,
94,85,,, ,,,,,,,,,
95,85,,, ,,,,,,,,,
96,85,,, ,,,,,,,,,
97,85,,, ,,,,,,,,,
98,85,,, ,,,,,,,,,
99,85,,, ,,,,,,,,,
100,85,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
