Rank,(All),,,,,,,,,,,,,,,,,,,,
No Handicap,(Multiple Items),,,,,,,,,,,,,,,,,,,,
Median Var,(All),,,,,,,,,,,,,,,,,,,,
Season,(All),,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Values,,,,,,,,,,,,,,,,,,,,
Full Name,Count of Full Name,Min of Score,,,,,,Full Name,Count of Full Name,Min of Score,check,check,,,,,,,,,
Adam Holter,1,60,,,,,,Jon Toby,436,48,48,0,,,,,,,,,
Adrian Cormier,9,58,,,,,,Daniel Tarango,425,51,51,0,,,,,,,,,
Alan Uskert,5,59,,,,,,Peter Thayer,416,56,56,0,,,,,,,,,
Andy Leaf,231,43,,,,,,Doug Mitchell,392,45,45,0,,,,,,,,,
Andy Painter,94,49,,,,,,Dennis Condos,388,51,51,0,,,,,,,,,
Anne Farrell,127,66,,,,,,Niel Jones,381,50,50,0,,,,,,,,,
Anni Kreml,12,56,,,,,,Bob Wigersma,379,43,43,0,,,,,,,,,
Antara deBourbon,1,64,,,,,,Matt Barclay,343,48,48,0,,,,,,,,,
Anthony Rinquette,14,57,,,,,,Todd Kurnat,341,44,44,0,,,,,,,,,
Arne Johnson,5,59,,,,,,Matt Brenner,340,46,46,0,,,,,,,,,
Arthur Soma,35,56,,,,,,"Scott ""Bizzle"" Badovick",331,45,45,0,,,,,,,,,
Arthur Viger,1,72,,,,,,Kevin Smeds,327,48,48,0,,,,,,,,,
Aurelius Lewicki,257,48,,,,,,Sean Jack,319,43,43,0,,,,,,,,,
Beau Cleavland,1,60,,,,,,Greg Breazeale,297,43,43,0,,,,,,,,,
Becky Terrill,75,55,,,,,,Dennis Warsen,291,46,46,0,,,,,,,,,
Ben Burke,1,74,,,,,,Derek Phelan,287,42,42,0,,,,,,,,,
Ben Dugas,4,57,,,,,,Eric Leaf,286,46,46,0,,,,,,,,,
Ben Neely,56,48,,,,,,Dino Papagni,285,45,45,0,,,,,,,,,
Bill Emmack,209,50,,,,,,Life Gibson,275,48,48,0,,,,,,,,,
Bill Summer,1,59,,,,,,David Lackey,269,42,42,0,,,,,,,,,
Blaise Panfalone,37,56,,,,,,Glenn Murray,261,49,49,0,,,,,,,,,
Bob Diamond,3,50,,,,,,Joe Busby,260,50,50,0,,,,,,,,,
Bob Montes,11,49,,,,,,Warren Sedar,258,49,49,0,,,,,,,,,
Bob Wigersma,379,43,,,,,,Aurelius Lewicki,257,48,48,0,,,,,,,,,
Bobby Hoellwarth,38,48,,,,,,Jeff Faes,253,42,42,0,,,,,,,,,
Booth Burrows,233,46,,,,,,Jason Tindell,251,49,49,0,,,,,,,,,
Brad Hart,7,54,,,,,,Kevin Eckert,250,46,46,0,,,,,,,,,
Brad King,153,56,,,,,,Chase Lawler,249,45,45,0,,,,,,,,,
Brad Pricer,24,56,,,,,,Chris Isom,249,46,46,0,,,,,,,,,
Brandon Nash,29,49,,,,,,Shawn Mercy,248,42,42,0,,,,,,,,,
Brandon Sy,1,46,,,,,,Dan Santini,247,46,46,0,,,,,,,,,
Brant Willis,10,57,,,,,,Foulad Albadeh,246,45,45,0,,,,,,,,,
Brian Lee,19,56,,,,,,Ron Schreier,240,52,52,0,,,,,,,,,
Chase Lawler,249,45,,,,,,Booth Burrows,233,46,46,0,,,,,,,,,
Chika Nii,33,48,,,,,,Stick Williams,232,41,41,0,,,,,,,,,
Chris Addiego,6,48,,,,,,Andy Leaf,231,43,43,0,,,,,,,,,
Chris Albright,34,51,,,,,,Mike Ridley,224,48,48,0,,,,,,,,,
Chris Culp,95,51,,,,,,Patrick Brown,221,39,39,0,,,,,,,,,
Chris Kennedy,86,53,,,,,,Joel Tondreau,215,50,50,0,,,,,,,,,
Chris Mergemekes,35,56,,,,,,Luiz Celeste,211,45,45,0,,,,,,,,,
Chris Morris,18,54,,,,,,Bill Emmack,209,50,50,0,,,,,,,,,
Chris Richie,2,61,,,,,,Les Swift,206,48,48,0,,,,,,,,,
Chris Roehm,59,49,,,,,,Colin Sanders,203,49,49,0,,,,,,,,,
Chris Sherwood,33,55,,,,,,Jeremiah Steinberg,202,46,46,0,,,,,,,,,
Christian Olson,1,51,,,,,,Mike Nejad,198,49,49,0,,,,,,,,,
Chuck Boyle,60,53,,,,,,Danny Kerfeld,187,43,43,0,,,,,,,,,
Cy Prothro,2,55,,,,,,Jake Ward,187,50,50,0,,,,,,,,,
Damon Todd,1,60,,,,,,Scott Snyder,183,48,48,0,,,,,,,,,
Dan Duncanson,8,56,,,,,,Carl Miller,182,51,51,0,,,,,,,,,
Dan Schaefer,1,55,,,,,,Joe Graham,180,45,45,0,,,,,,,,,
Daniel Christensen,99,48,,,,,,Sean Pierson,180,50,50,0,,,,,,,,,
Daniel Tarango,425,51,,,,,,Matt Duncanson,172,49,49,0,,,,,,,,,
Danny Bazo,16,52,,,,,,Steve Erle,168,48,48,0,,,,,,,,,
Dave Barba,1,61,,,,,,Patrick Wood,166,43,43,0,,,,,,,,,
Dave Burnham,46,45,,,,,,Ron Hanhy,159,58,58,0,,,,,,,,,
Dave Mairs,79,48,,,,,,Mike Harter,156,47,47,0,,,,,,,,,
Dave Moynes,10,59,,,,,,Derf Lewis,156,51,51,0,,,,,,,,,
Dave Signorotti,5,57,,,,,,Brent Allard,156,49,49,0,,,,,,,,,
Dave Wood,4,46,,,,,,Erica Norton,155,56,56,0,,,,,,,,,
David Ewell,7,62,,,,,,Marco Benites,155,41,41,0,,,,,,,,,
David Gamble,1,68,,,,,,Brad King,153,56,56,0,,,,,,,,,
David Waisblum,93,43,,,,,,Andy Nguyen,153,51,51,0,,,,,,,,,
David Welty,9,48,,,,,,David Falzone,152,48,48,0,,,,,,,,,
Dennis Condos,388,51,,,,,,John Drago,151,45,45,0,,,,,,,,,
Dennis Thygesen,2,58,,,,,,Jeff Fiedler,146,42,42,0,,,,,,,,,
Dennis Warsen,291,46,,,,,,Jabir Ponce,145,43,43,0,,,,,,,,,
Derick Billings,1,56,,,,,,Bryan Banta,140,43,43,0,,,,,,,,,
Desmond Knibbs,2,52,,,,,,Mike Hudson,139,47,47,0,,,,,,,,,
Dino Papagni,285,45,,,,,,Josh Babiak,138,49,49,0,,,,,,,,,
Dominc Torus,6,52,,,,,,Ernie Rogers,137,45,45,0,,,,,,,,,
Don McIntyre,2,66,,,,,,Marquis Oliver,136,42,42,0,,,,,,,,,
Doug Bushey,5,58,,,,,,Mike Figueroa,135,48,48,0,,,,,,,,,
Doug Mitchell,392,45,,,,,,Matt Poland,134,54,54,0,,,,,,,,,
Doug Perlich,21,51,,,,,,Dylan Cantu,133,44,44,0,,,,,,,,,
Drake Birkie,62,53,,,,,,Steve Archuleta,132,45,45,0,,,,,,,,,
Dustin Jackson,1,63,,,,,,Andy Hale,129,45,45,0,,,,,,,,,
Eric ,1,72,,,,,,Sean Saxton,128,48,48,0,,,,,,,,,
Eric Jensen,9,56,,,,,,Nathan La Chance,128,45,45,0,,,,,,,,,
Eric Laughlin,3,56,,,,,,Anne Farrell,127,66,66,0,,,,,,,,,
Eric Leaf,286,46,,,,,,Orion Sylvester,125,46,46,0,,,,,,,,,
Eric Stucker,36,48,,,,,,Roger Crain,124,47,47,0,,,,,,,,,
Erik Carvajal,2,74,,,,,,Chris Hart,123,49,49,0,,,,,,,,,
Erik Kamprud,23,59,,,,,,Viento Nieto,122,49,49,0,,,,,,,,,
Ernie Motton,4,61,,,,,,Evan Sjostrom,121,49,49,0,,,,,,,,,
Eva Schmidt,19,71,,,,,,Jesse Kerfeld,120,41,41,0,,,,,,,,,
Evan Sjostrom,121,49,,,,,,Gregg LaComb,120,48,48,0,,,,,,,,,
Gabriel Coke,23,53,,,,,,Harper Alexander,119,45,45,0,,,,,,,,,
Gary Neely,5,66,,,,,,Dave McGrath,119,47,47,0,,,,,,,,,
George Kolcun,31,57,,,,,,Jonathan Ogan,116,52,52,0,,,,,,,,,
George Quinn,4,57,,,,,,Pento Malekzadeh,116,55,55,0,,,,,,,,,
George Ross,69,46,,,,,,Reggae Prime Minister,116,51,51,0,,,,,,,,,
Gil Stucker,1,64,,,,,,Hugh Harrell,115,59,59,0,,,,,,,,,
Greg Randolph,36,52,,,,,,Hunt Hyde,114,44,44,0,,,,,,,,,
Greg Stevenson,12,45,,,,,,Alaw Guo,114,50,50,0,,,,,,,,,
Greywing Cooper,11,52,,,,,,Cheyney Steininger,114,40,40,0,,,,,,,,,
Gulya Barclay,13,59,,,,,,Luke Walton,113,48,48,0,,,,,,,,,
Gulya Brown,2,64,,,,,,Cory Murrell,112,45,45,0,,,,,,,,,
Hans Unger,3,63,,,,,,Nate Stone,110,48,48,0,,,,,,,,,
Holly Bowling,1,85,,,,,,Matt Neiman,110,45,45,0,,,,,,,,,
Hunt Hyde,114,44,,,,,,Niko deVries,108,48,48,0,,,,,,,,,
Ian Edwards,2,51,,,,,,Billy Manger,107,52,52,0,,,,,,,,,
Jabir Ponce,145,43,,,,,,Filipe Wong,107,48,48,0,,,,,,,,,
Jacob Demott,6,52,,,,,,Joe Martinez,106,51,51,0,,,,,,,,,
James Atterrudy,1,67,,,,,,Casey Livingood,106,49,49,0,,,,,,,,,
James Costa,24,49,,,,,,Jesse Hast,105,49,49,0,,,,,,,,,
James Ream,1,58,,,,,,Rich Korach,105,48,48,0,,,,,,,,,
James Schindler,38,52,,,,,,Peter Black,104,43,43,0,,,,,,,,,
Jamie Tuckey,1,51,,,,,,Toby Parks,104,44,44,0,,,,,,,,,
Jared Persinger,1,62,,,,,,Mike Peremba,102,44,44,0,,,,,,,,,
Jason Golz,14,53,,,,,,Leon Geer,102,64,64,0,,,,,,,,,
Jason Tindell,251,49,,,,,,Joel Johnson,101,50,50,0,,,,,,,,,
