,,,,name,,,,
Patrick Brown,180, 11.88 ,,Andy Nguyen,,,,
Roger Cansler,9, 11.08 ,,Beau Griffin,,,,
Cheyney Steininger,72, 9.50 ,,Brent Allard,,,,
Jeff Faes,137, 9.41 ,,Chris Isom,,,,
Doug Jensen,89, 9.09 ,,Chris Isom,,,,
Dave Wood,4, 8.62 ,,Dan Buck,,,,
Stick Williams,213, 8.37 ,,Dan Tarango,,,,
David Welty,9, 8.33 ,,David Falzone,,,,
Danny Kerfeld,71, 8.33 ,,David Lackey,,,,
Chris Addiego,6, 8.30 ,,Derf Lewis,,,,
Avery Jenkins,3, 8.25 ,,Erica Norton,,,,
Hunt Hyde,101, 8.24 ,,Ernesto Rogers,,,,
David Waisblum,93, 8.15 ,,James Metzger,,,,
Sean Scruby,42, 8.01 ,,Jeff Faes,,,,
Brian Hendersen,5, 7.98 ,,Jesse Kerfeld,,,,
Jeff Fiedler,105, 7.92 ,,Matt Barclay,,,,
Jesse Kerfeld,41, 7.88 ,,Max Rosen,,,,
"Scott ""Bizzle"" Badovick",215, 7.65 ,,Michael Infusino,,,,
Greg Breazeale,178, 7.61 ,,Nathan La Chance,,,,
Matt Shustack,33, 7.56 ,,Nicholas Calabrese,,,,
Matt Brenner,225, 7.38 ,,Nick Norena,,,,
Todd Kurnat,190, 7.29 ,,Ron Hanhy,,,,
George Ross,67, 7.20 ,,Sean Jack,,,,
Shawn Mercy,115, 7.16 ,,Shawn Mercy,,,,
Dave Burnham,39, 7.11 ,,Shawn Mercy,,,,
Brandon Andre,11, 7.09 ,,Steve Erle,,,,
Toby Parks,21, 7.02 ,,,,,,
Chris Pescatello,78, 6.93 ,,,,,,
Peter Sontag,22, 6.80 ,,,,,,
Kary Roges,4, 6.60 ,,,,,,
Mike Peremba,91, 6.53 ,,,,,,
Tim Ittner,35, 6.53 ,,,,,,
Dino Papagni,239, 6.48 ,,,,,,
Dale Gatlin,28, 6.44 ,,,,,,
Greg Stevenson,12, 6.40 ,,,,,,
Ross Hammond,69, 6.39 ,,,,,,
Blake Zealear,42, 6.35 ,,,,,,
Jason Cantero,26, 6.35 ,,,,,,
David Lackey,162, 6.30 ,,,,,,
Evan Sjostrom,116, 6.30 ,,,,,,
Les Swift,159, 6.30 ,,,,,,
Josh Cook,12, 6.30 ,,,,,,
Kevin Couch,39, 6.26 ,,,,,,
Doug Mitchell,263, 6.21 ,,,,,,
Bryan Banta,92, 6.17 ,,,,,,
Seth Blacher,9, 6.08 ,,,,,,
Steve Erle,72, 6.03 ,,,,,,
Dan Santini,169, 5.99 ,,,,,,
Matt Kelly,18, 5.99 ,,,,,,
Ron Junker,7, 5.90 ,,,,,,
Scott Riley,47, 5.90 ,,,,,,
Kevin Gilbert,14, 5.90 ,,,,,,
Andy Leaf,152, 5.81 ,,,,,,
James Rossetti,65, 5.76 ,,,,,,
Mike Coleman,87, 5.72 ,,,,,,
Scott Kay,80, 5.63 ,,,,,,
Rob Byers,20, 5.58 ,,,,,,
Tristan Kolkhorst,40, 5.58 ,,,,,,
Robert Nguyen,47, 5.58 ,,,,,,
Josh Mitts,10, 5.57 ,,,,,,
Steve Moravec,3, 5.50 ,,,,,,
Wilson Linker,6, 5.50 ,,,,,,
Jabir Ponce,77, 5.49 ,,,,,,
Dennis Warsen,154, 5.40 ,,,,,,
Sean Jack,201, 5.31 ,,,,,,
Dave Brownlow,23, 5.27 ,,,,,,
Mike Harter,154, 5.22 ,,,,,,
Joe Graham,181, 5.13 ,,,,,,
Orion Sylvester,124, 5.13 ,,,,,,
Steve Archuleta,102, 5.13 ,,,,,,
Bob Montes,11, 5.12 ,,,,,,
Parry Wolfe,39, 5.09 ,,,,,,
Dylan Cantu,36, 5.09 ,,,,,,
Ruben Gonzales,12, 5.05 ,,,,,,
Mark Tegenkamp,51, 5.04 ,,,,,,
Jeff Swanson,6, 5.00 ,,,,,,
Chika Nii,33, 4.95 ,,,,,,
JB Beernink,32, 4.95 ,,,,,,
Geoff Forrey,4, 4.95 ,,,,,,
Kris Mickelson,81, 4.91 ,,,,,,
Tony Newman,23, 4.82 ,,,,,,
Matt Angel,7, 4.80 ,,,,,,
Nick Peters,17, 4.77 ,,,,,,
Steve Willis,54, 4.73 ,,,,,,
Tim Acker,28, 4.73 ,,,,,,
Kevin Eckert,183, 4.68 ,,,,,,
Steve Hines,8, 4.67 ,,,,,,
Booth Burrows,137, 4.64 ,,,,,,
Josh Haberman,88, 4.64 ,,,,,,
John Child,4, 4.58 ,,,,,,
Patrick Polach,10, 4.57 ,,,,,,
Michael Chulada,73, 4.50 ,,,,,,
Joel Johnson,101, 4.46 ,,,,,,
Pat Heath,53, 4.46 ,,,,,,
Gregg LaComb,88, 4.41 ,,,,,,
Greg Allpow,3, 4.40 ,,,,,,
Nic Kons,13, 4.40 ,,,,,,
Tateki Noma,3, 4.40 ,,,,,,
Andy Painter,91, 4.37 ,,,,,,
Jeff David,13, 4.35 ,,,,,,
Paul Dobson,58, 4.32 ,,,,,,
Zachary Looper-Friedman,63, 4.28 ,,,,,,
James Costa,24, 4.23 ,,,,,,
Ryan Dexter,29, 4.23 ,,,,,,
Jack Kaufusi,4, 4.22 ,,,,,,
Gregg Scott,11, 4.16 ,,,,,,
Ben Neely,56, 4.05 ,,,,,,
Brandon Langston,4, 4.03 ,,,,,,
Marvin Arostegui,3, 4.03 ,,,,,,
Mike Imlay,24, 4.01 ,,,,,,
Daniel Christensen,100, 3.92 ,,,,,,
Niko deVries,107, 3.92 ,,,,,,
Scott Snyder,159, 3.92 ,,,,,,
Jason Tindell,160, 3.87 ,,,,,,
Chase Lawler,92, 3.83 ,,,,,,
Chris Roehm,59, 3.83 ,,,,,,
Dave Mairs,77, 3.78 ,,,,,,
Mike Figueroa,85, 3.78 ,,,,,,
Jason Stevens,26, 3.69 ,,,,,,
Mike Newton,36, 3.69 ,,,,,,
