,course_id,cumgame_coeff,intercept,mse,n_value,nomatch,player,precip_coeff,prediction_score,wind_coeff
0,0,,,,,1.0,Ben Horst,,,
1,1,,,,,1.0,Ben Horst,,,
2,2,-0.0,68.11111111111111,16.32098765432099,9.0,,Ben Horst,0.0,0.0,0.0
3,0,,,,,1.0,Bob Montes,,,
4,1,0.0,52.6,6.639999999999999,5.0,,Bob Montes,0.0,0.0,-0.0
5,2,-0.0,55.04347826086956,12.00928191684789,23.0,,Bob Montes,0.41330218616208164,0.1394052920600739,0.4895246148897989
6,0,0.0,51.0,3.272727272727273,11.0,,Dennis Warsen,0.0,0.0,1.4782535628248553e-17
7,1,-0.0,57.142857142857146,13.767399164364504,14.0,,Dennis Warsen,0.6319971323787941,0.1460727100584043,-0.0
8,2,-0.0,54.35849056603774,14.754300855575353,53.0,,Dennis Warsen,0.0,0.07369292603569,0.5623834461328651
9,0,,,,,1.0,Gonzalo Arestizabal,,,
10,1,0.0,65.0,12.5,8.0,,Gonzalo Arestizabal,0.0,0.0,0.0
11,2,-0.250541156103371,63.142857142857146,7.585578361959652,21.0,,Gonzalo Arestizabal,0.0,0.08749589262842161,0.42874801002021146
12,0,,,,,1.0,Greg Mann,,,
13,1,,,,,1.0,Greg Mann,,,
14,2,,63.5,,,,Greg Mann,,,
15,0,,,,,1.0,Gregg LaComb,,,
16,1,,,,,1.0,Gregg LaComb,,,
17,2,,59.5,,,,Gregg LaComb,,,
18,0,,53.0,,,,Jon Braidman,,,
19,1,-0.0,56.81818181818182,10.365938607349749,11.0,,Jon Braidman,0.0,0.12042175912389919,-0.5377043563128884
20,2,-1.064292094575894,56.458333333333336,11.678032275013353,24.0,,Jon Braidman,0.0,0.2885725446422326,0.8750355569913384
21,0,,,,,1.0,Juan Fielding,,,
22,1,,,,,1.0,Juan Fielding,,,
23,2,0.0,54.0,3.0,6.0,,Juan Fielding,0.0,0.0,-2.1872190304915338e-17
24,0,,,,,1.0,Matt Rowe,,,
25,1,,58.0,,,,Matt Rowe,,,
26,2,0.2361808372564147,57.06666666666667,12.516982703758154,15.0,,Matt Rowe,0.0,0.12645126912357763,-0.562775389181884
27,0,,55.5,,,,Nelson Vasquez,,,
28,1,1.2303240842927792,57.0,0.017874771235793372,3.0,,Nelson Vasquez,0.0,0.9932969607865775,-0.35792323828963707
29,2,-0.0,58.84615384615385,8.591715976331361,13.0,,Nelson Vasquez,0.0,0.0,0.0
30,0,,,,,1.0,Pete D'Agostino,,,
31,1,,62.0,,,,Pete D'Agostino,,,
32,2,-0.0,61.57575757575758,16.8438107915525,66.0,,Pete D'Agostino,0.15072121845827527,0.023222218861458255,0.0
33,0,,,,,1.0,Scott Badovick,,,
34,1,0.0,53.666666666666664,14.888888888888891,3.0,,Scott Badovick,-2.433246493091163e-17,0.0,0.0
35,2,,55.0,,,,Scott Badovick,,,
36,0,,,,,1.0,Steve Keller,,,
37,1,-0.8825072758206879,57.666666666666664,8.166197312508228,3.0,,Steve Keller,0.0,0.5961770559748679,1.1916356496389102
38,2,,59.5,,,,Steve Keller,,,
39,0,,,,,1.0,Steve Willis,,,
40,1,-0.9871034224528515,56.5,6.149414297574235,8.0,,Steve Willis,-0.05898395022345115,0.46526832195006657,1.035213152650012
41,2,-0.055614613786897055,55.22222222222222,11.371128191724956,72.0,,Steve Willis,1.0541284053407594,0.2920358312607829,1.0446250146691787
42,0,,,,,1.0,Tim Smith,,,
43,1,,,,,1.0,Tim Smith,,,
44,2,,58.0,,,,Tim Smith,,,
45,0,0.12576647477813716,54.25,2.992029050579899,4.0,,Toby Parks,0.0,0.5525937868291739,1.011931250935887
46,1,1.4071768255143458e-17,52.714285714285715,8.918367346938775,14.0,,Toby Parks,-0.0,0.0,0.0
47,2,0.0,51.0,12.588235294117647,34.0,,Toby Parks,-0.0,0.0,3.513399689757638e-17
48,0,-0.10245698071562984,54.22222222222222,8.247717452819348,9.0,,Vince Mardigras,0.08143297016268725,0.18924136689518534,-0.7114103964658272
49,1,,61.0,,,,Vince Mardigras,,,
50,2,,57.5,,,,Vince Mardigras,,,
51,0,,,,,1.0,Will Roller,,,
52,1,,55.0,,,,Will Roller,,,
53,2,-0.06206930899325803,54.577777777777776,14.44851550302425,45.0,,Will Roller,-0.0,0.1717177020262682,1.399462587588484
54,0,,,,,1.0,Anni Kreml,,,
55,1,,,,,1.0,Anni Kreml,,,
56,2,0.0,60.32142857142857,9.78954081632653,28.0,,Anni Kreml,0.0,0.0,0.0
57,0,,59.0,,,,Case Conover,,,
58,1,-0.0,58.4,7.839999999999999,10.0,,Case Conover,0.0,0.0,-0.0
59,2,-0.9176690564741009,56.526315789473685,6.993816363396392,57.0,,Case Conover,-0.07089294533936569,0.20304049646903488,0.9959061861941022
60,0,,,,,1.0,David Welty,,,
61,1,0.4861917242715834,55.5,1.4938309921737303,4.0,,David Welty,-0.582186892849699,0.7939543459070717,-1.0089574425212617
62,2,2.7361881058921273e-17,56.166666666666664,10.472222222222223,6.0,,David Welty,0.0,0.0,0.0
63,0,,,,,1.0,Kevin Couch,,,
64,1,,,,,1.0,Kevin Couch,,,
65,2,-0.22738028445842762,52.166666666666664,11.137648618357149,24.0,,Kevin Couch,-0.0,0.043065989830889384,0.0
66,0,,,,,1.0,Scott Riley,,,
67,1,-0.0,54.54545454545455,12.479547046490278,11.0,,Scott Riley,-0.0,0.01046841898733697,0.08246659058377667
68,2,0.0,54.4390243902439,16.283650679535647,41.0,,Scott Riley,0.0,0.006647670478319823,0.03288468009217958
69,0,,,,,1.0,Conner Russell,,,
70,1,,,,,1.0,Conner Russell,,,
71,2,-2.5220229366594342,65.0,7.927545801800676,22.0,,Conner Russell,0.7452435640549893,0.52607063141409,1.1087994628890132
72,0,1.2337715807363316,60.5,0.003639809001908252,4.0,,David Falzone,0.2327728806353473,0.999143574352492,1.5390253928990547
73,1,0.0,59.2,6.959999999999999,5.0,,David Falzone,-0.0,0.0,0.0
74,2,-0.0,59.77777777777778,5.950617283950617,9.0,,David Falzone,0.0,0.0,0.0
75,0,-0.3566994642187707,49.2,3.496507974461944,5.0,,Jeff Fiedler,0.0,0.15949327536972524,0.08106584808468233
76,1,-0.0,51.0,0.0573175107524502,3.0,,Jeff Fiedler,-3.1675328686585753,0.9954749333616487,-0.331791559979249
77,2,-0.28461091848611725,53.86666666666667,8.887480923298405,30.0,,Jeff Fiedler,0.860633414174245,0.13843894539330415,-0.23312425685628285
78,0,,,,,1.0,Joe Wharton,,,
79,1,,,,,1.0,Joe Wharton,,,
80,2,0.0,56.63333333333333,7.765555555555556,30.0,,Joe Wharton,0.0,0.0,-0.0
81,0,,,,,1.0,Ari Freedman,,,
82,1,0.5247607407800804,56.75,3.220065910443763,4.0,,Ari Freedman,0.0,0.6987072832333321,-1.979190340926665
83,2,1.110734353965051,58.64,11.07926017049515,25.0,,Ari Freedman,0.25338596424705195,0.1989197586118152,0.8627740529329158
84,0,,,,,1.0,Peter Sontag,,,
85,1,0.0,49.5,4.25,4.0,,Peter Sontag,-0.0,0.0,0.0
86,2,0.8783208811059129,52.3125,5.973441432537384,16.0,,Peter Sontag,-0.0635244944155884,0.6911329010847161,3.515302025780606
87,0,,,,,1.0,AJ Jaussaud,,,
88,1,,,,,1.0,AJ Jaussaud,,,
89,2,-1.7845707769140102,56.18181818181818,11.978288289844324,11.0,,AJ Jaussaud,0.0,0.42621817772321335,1.5386591048973297
90,0,,,,,1.0,Aaron Hesterman,,,
91,1,,,,,1.0,Aaron Hesterman,,,
92,2,,60.0,,,,Aaron Hesterman,,,
93,0,,62.0,,,,Aaron Kirby,,,
94,1,,62.5,,,,Aaron Kirby,,,
95,2,-0.0,64.875,32.98490453330443,8.0,,Aaron Kirby,0.0,0.11709163942639754,0.823140629315473
96,0,,,,,1.0,Andy Sommers,,,
97,1,,,,,1.0,Andy Sommers,,,
98,2,,58.5,,,,Andy Sommers,,,
99,0,2.643641336425407,57.166666666666664,2.1669555535267326,6.0,,Bob McGarity,-1.1753263239298013,0.8350731502601217,1.0797261661480926
100,1,-1.9587260445566162e-17,55.45454545454545,9.884297520661157,11.0,,Bob McGarity,-0.0,0.0,0.0
101,2,-1.6577677721345658,58.81818181818182,15.003437274472132,11.0,,Bob McGarity,0.0,0.24168090634455808,0.0
102,0,,59.0,,,,Bryan Hesterman,,,
103,1,-0.0,55.666666666666664,1.5555555555555554,3.0,,Bryan Hesterman,0.0,0.0,1.7197641586939564e-17
104,2,-1.2982364082749458,57.75,6.19614459430434,4.0,,Bryan Hesterman,0.0,0.44615467313480756,-0.0
105,0,,,,,1.0,Chad Inman,,,
106,1,,,,,1.0,Chad Inman,,,
107,2,,61.0,,,,Chad Inman,,,
108,0,,,,,1.0,Chris Basuino,,,
