,T_coeff,course_id,cumgame_coeff,dirvar_coeff,intercept,mse,n_values,nomatch,player,precip_coeff,prediction_score,removed_corr,wgust_coeff,wspd_coeff
0,,0,,,,,,1.0,Ben Horst,,,,,
1,,1,,,,,,1.0,Ben Horst,,,,,
2,,2,-0.0,-0.0,68.11111111111111,16.32098765432099,9.0,,Ben Horst,0.0,0.0,1.0,0.0,0.0
3,,0,,,,,,1.0,Bob Montes,,,,,
4,,1,0.0,,52.6,6.639999999999999,5.0,,Bob Montes,,0.0,0.0,,
5,-0.36421903777969844,2,-0.0,0.0,55.04347826086956,9.719677101213586,23.0,,Bob Montes,0.42956934589958556,0.30348019689217187,0.0,1.249596118574874,0.0
6,-0.07791232015466018,0,0.1541965430585195,-0.0,51.3,1.7711891274379723,10.0,,Dennis Warsen,0.0473637608072331,0.32138347607740514,0.0,0.2654561218709252,0.12839854517318983
7,-2.6092472373643343,1,-0.47025895687309355,0.0,57.142857142857146,5.063018741297226,14.0,,Dennis Warsen,0.607129443290074,0.6859646603499189,0.0,0.0,0.0
8,-0.0,2,-0.0,-0.0,54.35849056603774,14.013275509398463,53.0,,Dennis Warsen,0.0,0.12021610777568559,0.0,0.7970974852505135,0.0
9,,0,,,,,,1.0,Gonzalo Arestizabal,,,,,
10,0.0,1,0.6248870743690019,1.1935505727569757,65.0,6.291931507994487,8.0,,Gonzalo Arestizabal,0.0,0.496645479360441,0.0,-0.0,0.0
11,-0.6007473429250489,2,-0.18800729951919753,-0.1925480432157363,63.142857142857146,6.405464375024861,21.0,,Gonzalo Arestizabal,0.0,0.22945723148227945,0.0,0.19777066338499372,0.29943275623686966
12,,0,,,,,,1.0,Greg Mann,,,,,
13,,1,,,,,,1.0,Greg Mann,,,,,
14,,2,,,63.5,5.5,2.0,,Greg Mann,,,3.0,,
15,,0,,,,,,1.0,Gregg LaComb,,,,,
16,,1,,,,,,1.0,Gregg LaComb,,,,,
17,,2,,,59.5,5.5,2.0,,Gregg LaComb,,,3.0,,
18,,0,,,53.0,0.0,1.0,,Jon Braidman,,,0.0,,
19,-1.7721906289013403,1,-0.0,-0.0,56.81818181818182,5.50404036775301,11.0,,Jon Braidman,-0.0,0.5329671216703267,0.0,-0.0,-0.0
20,-1.0051698489306304,2,-0.598331682266723,0.6292586916368665,56.458333333333336,5.530712591234299,24.0,,Jon Braidman,0.0,0.6630681700104752,0.0,6.090225082819642,-4.079298299466648
21,,0,,,,,,1.0,Juan Fielding,,,,,
22,,1,,,,,,1.0,Juan Fielding,,,,,
23,,2,0.0,,54.0,3.0,6.0,,Juan Fielding,,0.0,1.0,,
24,,0,,,,,,1.0,Matt Rowe,,,,,
25,,1,,,58.0,0.0,1.0,,Matt Rowe,,,0.0,,
26,-0.0,2,0.0,-0.0,57.06666666666667,10.830180851243224,15.0,,Matt Rowe,0.0,0.244171621733956,0.0,-1.211930931779172,-0.0
27,,0,,,55.5,0.5,2.0,,Nelson Vasquez,,,2.0,,
28,,1,,,57.0,1.632993161855452,3.0,,Nelson Vasquez,,,1.0,,
29,-0.0,2,-0.0,-0.0,58.84615384615385,8.591715976331361,13.0,,Nelson Vasquez,0.0,0.0,0.0,0.0,0.0
30,,0,,,,,,1.0,Pete D'Agostino,,,,,
31,,1,,,62.0,3.0,2.0,,Pete D'Agostino,,,1.0,,
32,-0.0,2,-0.0,-0.0,61.57575757575758,16.680231015224773,66.0,,Pete D'Agostino,0.2081333488014322,0.032708260526131294,0.0,0.010713740059242924,0.0062587520711575905
33,,0,,,,,,1.0,Scott Badovick,,,,,
34,,1,,,53.666666666666664,3.8586123009300755,3.0,,Scott Badovick,,,1.0,,
35,,2,,,55.0,0.0,2.0,,Scott Badovick,,,2.0,,
36,,0,,,,,,1.0,Steve Keller,,,,,
37,,1,,,57.666666666666664,4.4969125210773475,3.0,,Steve Keller,,,0.0,,
38,,2,,,59.5,0.5,2.0,,Steve Keller,,,2.0,,
39,,0,,,,,,1.0,Steve Willis,,,,,
40,0.0,1,-0.6843788603579912,-0.0,56.5,5.965522985946245,8.0,,Steve Willis,-0.0,0.481258870787283,0.0,0.8115922173414607,0.5434881387264295
41,0.06372276647374593,2,-0.1854868519770836,0.3008314341262748,55.22222222222222,10.812142533001975,72.0,,Steve Willis,1.042083805222842,0.32683816666167564,0.0,0.5955652631926314,0.8033456125477784
42,,0,,,,,,1.0,Tim Smith,,,,,
43,,1,,,,,,1.0,Tim Smith,,,,,
44,,2,,,58.0,0.0,1.0,,Tim Smith,,,0.0,,
45,,0,1.1193648701479368,,54.25,5.187204177117691,4.0,,Toby Parks,,0.2243433006179154,0.0,,
46,0.09734955390870187,1,0.0,-0.0,52.714285714285715,8.642736188601852,14.0,,Toby Parks,-0.0,0.030906010889036994,0.0,0.0,0.0
47,-0.0,2,0.0,-0.0,51.0,12.588235294117647,34.0,,Toby Parks,-0.0,0.0,0.0,0.0,0.0
48,0.6796705867221673,0,-0.0,0.1529056694597073,54.125,5.662008977681868,8.0,,Vince Mardigras,0.18900671434507496,0.5015562935740858,0.0,-0.12157967598866909,-0.6218014869969204
49,,1,,,61.0,0.0,1.0,,Vince Mardigras,,,0.0,,
50,,2,,,57.5,2.5,2.0,,Vince Mardigras,,,2.0,,
51,,0,,,,,,1.0,Will Roller,,,,,
52,,1,,,55.0,1.0,2.0,,Will Roller,,,3.0,,
53,-0.013268368897428814,2,-0.020928577292928373,0.1079486760472869,54.577777777777776,15.105940941366246,45.0,,Will Roller,0.0,0.13402982656928308,0.0,0.6451443634760775,0.30009009508318907
54,,0,,,,,,1.0,Anni Kreml,,,,,
55,,1,,,,,,1.0,Anni Kreml,,,,,
56,-0.0,2,0.0,-1.8975044618697623e-17,60.32142857142857,9.78954081632653,28.0,,Anni Kreml,0.0,0.0,0.0,0.0,0.0
57,,0,,,59.0,0.0,1.0,,Case Conover,,,0.0,,
58,-0.06303017905662299,1,-0.0,0.0,58.4,7.725031744602772,10.0,,Case Conover,0.0,0.014664318290462662,0.0,-0.0,-0.0
59,0.3041678965552757,2,-0.9583204504929984,-0.009531469028855218,56.526315789473685,6.949497369605223,57.0,,Case Conover,-0.0,0.20809073534485942,0.0,0.27576329978594577,0.6181657485684727
60,,0,,,,,,1.0,David Welty,,,,,
61,,1,0.8893361630765667,,55.5,4.859133026174879,4.0,,David Welty,,0.32977475501036146,0.0,,
62,,2,2.2910187341104336,,56.166666666666664,5.212703918466508,6.0,,David Welty,,0.5022351695894052,0.0,,
63,,0,,,,,,1.0,Kevin Couch,,,,,
64,,1,,,,,,1.0,Kevin Couch,,,,,
65,0.0,2,-0.26865912503059847,-0.0,52.166666666666664,11.05774290363818,24.0,,Kevin Couch,0.0,0.04993139730077689,0.0,0.0,-0.0
66,,0,,,,,,1.0,Scott Riley,,,,,
67,-0.0,1,-0.0,-0.0,54.54545454545455,12.516281527411122,11.0,,Scott Riley,-0.0,0.007555658704622603,0.0,0.010265238275438482,0.03915657667343599
68,-0.0,2,0.0,-0.0,54.4390243902439,16.07614711486688,41.0,,Scott Riley,0.0,0.019306020464101126,0.0,0.04671706334469698,0.04881342104459565
69,,0,,,,,,1.0,Conner Russell,,,,,
70,,1,,,,,,1.0,Conner Russell,,,,,
71,0.5488532685109654,2,-3.204618533403522,0.8486078966320487,65.0,6.0500532822377355,22.0,,Conner Russell,0.9501011491847762,0.6383120320401354,0.0,0.6671938296086364,1.3665096312563565
72,,0,0.7296636642952612,,60.5,2.498200487286676,4.0,,David Falzone,,0.41218812063842913,0.0,,
73,,1,0.0,,59.2,6.959999999999999,5.0,,David Falzone,,0.0,0.0,,
74,-0.0,2,-0.0,0.0,59.77777777777778,5.950617283950617,9.0,,David Falzone,0.0,0.0,0.0,-0.0,0.0
75,,0,-0.0,,49.2,4.160000000000001,5.0,,Jeff Fiedler,,0.0,0.0,,
76,,1,,,51.0,3.559026084010437,3.0,,Jeff Fiedler,,,1.0,,
77,-0.07702803397774156,2,-0.3799193935984672,0.2111798624126752,53.86666666666667,9.780660284395607,30.0,,Jeff Fiedler,0.0,0.05185326842351933,0.0,0.2837489810031037,-0.0012512697530790713
78,,0,,,,,,1.0,Joe Wharton,,,,,
79,,1,,,,,,1.0,Joe Wharton,,,,,
80,-0.0,2,0.0,0.0,56.63333333333333,7.765555555555556,30.0,,Joe Wharton,0.0,0.0,0.0,-0.0,-0.0
81,,0,,,,,,1.0,Ari Freedman,,,,,
82,,1,2.285438642715397,,56.75,5.178897846232179,4.0,,Ari Freedman,,0.5154247629256441,0.0,,
83,-0.018361066230276932,2,0.6010105997143226,-0.5780529012241407,58.64,10.60834387755925,25.0,,Ari Freedman,0.21681495078431823,0.23296912037545892,0.0,0.26366443873078094,0.17429878620851447
84,,0,,,,,,1.0,Peter Sontag,,,,,
85,,1,0.0,,49.5,4.25,4.0,,Peter Sontag,,0.0,0.0,,
