,T_coeff,course_id,cumgame_coeff,dirvar_coeff,intercept,mse,n_values,nomatch,player,precip_coeff,prediction_score,removed_corr,wgust_coeff,wspd_coeff
0,,0,,,,,,1.0,Ben Horst,,,,,
1,,1,,,,,,1.0,Ben Horst,,,,,
2,,2,-0.0,-0.0003820043408520513,67.73991372493865,14.87414569780012,9.0,,Ben Horst,58.66898281863379,0.0886491667762409,1.0,0.03961087703420583,0.11099274067439595
3,,0,,,,,,1.0,Bob Montes,,,,,
4,,1,0.0,,52.6,6.639999999999999,5.0,,Bob Montes,,0.0,0.0,,
5,-0.16966625634441282,2,0.0,0.00038235692168844007,61.80473163673952,9.655932980759815,23.0,,Bob Montes,0.0,0.30804815133812746,0.0,0.3516297615165864,0.0
6,-0.0,0,0.0,0.0,51.0,3.272727272727273,11.0,,Dennis Warsen,0.0,0.0,0.0,0.0,0.0
7,-0.2903338589019035,1,-0.10497615381441193,-0.0004551896298258112,74.09170952462286,4.060424438480388,14.0,,Dennis Warsen,0.0,0.7481508892588113,0.0,0.4107728993038084,-0.0
8,-0.0,2,-0.0,-0.0002427765984527394,52.484281249945845,13.20021279131812,53.0,,Dennis Warsen,0.0,0.1712619522861608,0.0,0.2386051630871963,0.0
9,,0,,,,,,1.0,Gonzalo Arestizabal,,,,,
10,-0.0,1,0.3064653693988629,0.0007774655356119365,65.04098235568635,6.32435153748533,8.0,,Gonzalo Arestizabal,0.0,0.4940518770011736,0.0,-0.337044307452848,-0.0
11,-0.156837860535946,2,-0.024250442059282024,-7.15926931672907e-05,71.29354646607398,6.4554555312825315,21.0,,Gonzalo Arestizabal,0.0,0.2234435653858167,0.0,0.11560575602094665,0.24717071921054262
12,,0,,,,,,1.0,Greg Mann,,,,,
13,,1,,,,,,1.0,Greg Mann,,,,,
14,,2,,,63.5,5.5,2.0,,Greg Mann,,,3.0,,
15,,0,,,,,,1.0,Gregg LaComb,,,,,
16,,1,,,,,,1.0,Gregg LaComb,,,,,
17,,2,,,59.5,5.5,2.0,,Gregg LaComb,,,3.0,,
18,,0,,,53.0,0.0,1.0,,Jon Braidman,,,0.0,,
19,-0.27640087255125984,1,0.8118709850431459,-0.0014511162739255091,66.68797827882014,1.7170229229392406,11.0,,Jon Braidman,0.0,0.8543059090633603,0.0,2.9075051580917313,-9.770980047804098
20,-0.2008213714759475,2,-0.08052003098229546,-0.0,65.85512462694805,4.193256335879827,24.0,,Jon Braidman,811.062245183455,0.7445462031235559,0.0,0.3285778876809514,0.0
21,,0,,,,,,1.0,Juan Fielding,,,,,
22,,1,,,,,,1.0,Juan Fielding,,,,,
23,,2,0.0,,54.0,3.0,6.0,,Juan Fielding,,0.0,0.0,,
24,,0,,,,,,1.0,Matt Rowe,,,,,
25,,1,,,58.0,0.0,1.0,,Matt Rowe,,,0.0,,
26,-0.0,2,0.0,-0.0,60.897126081367674,9.249035122630614,15.0,,Matt Rowe,0.0,0.35451833046157283,0.0,-0.5397346117097265,-0.0
27,,0,,,55.5,0.5,2.0,,Nelson Vasquez,,,2.0,,
28,,1,,,57.0,1.632993161855452,3.0,,Nelson Vasquez,,,0.0,,
29,-0.022456712204991746,2,-0.012273531992081447,-0.00016603136698581437,59.448141001714525,7.3978418047294525,13.0,,Nelson Vasquez,-71.10194943261949,0.13895642906385863,0.0,0.11939707819421597,0.05067845141582432
30,,0,,,,,,1.0,Pete D'Agostino,,,,,
31,,1,,,62.0,3.0,2.0,,Pete D'Agostino,,,1.0,,
32,-0.0,2,-0.0009420649782863613,-0.0,60.24181126371798,15.496337310020191,66.0,,Pete D'Agostino,85.86382049819292,0.10136262151275421,0.0,0.061270625839138095,0.27778569067158887
33,,0,,,,,,1.0,Scott Badovick,,,,,
34,,1,,,53.666666666666664,3.8586123009300755,3.0,,Scott Badovick,,,1.0,,
35,,2,,,55.0,0.0,2.0,,Scott Badovick,,,2.0,,
36,,0,,,,,,1.0,Steve Keller,,,,,
37,,1,,,57.666666666666664,4.4969125210773475,3.0,,Steve Keller,,,0.0,,
38,,2,,,59.5,0.5,2.0,,Steve Keller,,,2.0,,
39,,0,,,,,,1.0,Steve Willis,,,,,
40,0.0017433112581981918,1,-0.21877464798452378,0.00016229348876776987,55.11651232214516,6.973083094155534,8.0,,Steve Willis,0.0,0.3936449483343014,0.0,0.2332567457088956,1.1889811843980111
41,-0.001136617311190363,2,-0.0031705167274472612,-9.41573885251111e-05,52.418446776781636,11.146919974381843,72.0,,Steve Willis,76.69300450870053,0.30599499006538866,0.0,0.12895550631357924,0.6936510540826561
42,,0,,,,,,1.0,Tim Smith,,,,,
43,,1,,,,,,1.0,Tim Smith,,,,,
44,,2,,,58.0,0.0,1.0,,Tim Smith,,,0.0,,
45,,0,1.0011903765104047,,52.748214435234395,5.187204177117691,4.0,,Toby Parks,,0.2243433006179154,0.0,,
46,1.17512355128808e-18,1,0.0,0.0,52.714285714285715,8.918367346938775,14.0,,Toby Parks,0.0,0.0,0.0,-0.0,0.0
47,-0.0,2,0.0,-0.0,51.0,12.588235294117647,34.0,,Toby Parks,0.0,0.0,0.0,0.0,0.0
48,0.281984973886228,0,-0.002393316100092114,0.0003261822925200259,41.62225960530887,4.795455285224802,9.0,,Vince Mardigras,38.586844508850646,0.5286020896805717,0.0,-0.04604695612217678,-0.5378162415514158
49,,1,,,61.0,0.0,1.0,,Vince Mardigras,,,0.0,,
50,,2,,,57.5,2.5,2.0,,Vince Mardigras,,,2.0,,
51,,0,,,,,,1.0,Will Roller,,,,,
52,,1,,,55.0,1.0,2.0,,Will Roller,,,3.0,,
53,0.0,2,-0.0,-4.157849938719569e-05,52.52466294501451,14.702325272502488,45.0,,Will Roller,125.96540390344646,0.15716768551643256,0.0,0.1410496692512264,0.24238274388009998
54,,0,,,,,,1.0,Anni Kreml,,,,,
55,,1,,,,,,1.0,Anni Kreml,,,,,
56,-0.0,2,0.0,-9.952785900489305e-06,60.33384685701292,9.764482691735548,28.0,,Anni Kreml,-0.0,0.0025596833458410018,0.0,0.0,0.0
57,,0,,,59.0,0.0,1.0,,Case Conover,,,0.0,,
58,-0.02835366752440175,1,-0.0,0.0,60.67918938552694,7.1756309681333095,10.0,,Case Conover,0.0,0.08474094794217979,0.0,-0.024703106276394767,-0.20163695041607432
59,0.21805875546205225,2,-0.048876248267465706,-0.0,42.79870641072421,6.448549962498099,57.0,,Case Conover,127.3045971988986,0.26517470439968005,0.0,0.13459528739660864,0.3646853355403429
60,,0,,,,,,1.0,David Welty,,,,,
61,,1,0.7954464461952166,,54.30683033070717,4.859133026174879,4.0,,David Welty,,0.32977475501036146,0.0,,
62,,2,1.341483209846897,,52.81295864204942,5.212703918466508,6.0,,David Welty,,0.5022351695894052,0.0,,
63,,0,,,,,,1.0,Kevin Couch,,,,,
64,,1,,,,,,1.0,Kevin Couch,,,,,
65,-0.0,2,-0.04259799043808283,0.0,52.65654355670462,11.008771762671477,24.0,,Kevin Couch,-0.0,0.054138941632045134,0.0,-0.0,-0.0
66,,0,,,,,,1.0,Scott Riley,,,,,
67,-0.04510625283923192,1,0.0496419184934372,-8.621828005120195e-05,53.59574452831318,7.44400237641343,11.0,,Scott Riley,0.0,0.409748173298804,0.0,0.17098235740861026,1.6893063312110608
68,-0.0,2,0.0,-0.0,54.08016472464681,15.784015426505931,41.0,,Scott Riley,-0.0,0.03712694397022542,0.0,0.015907998244285706,0.0910560876501995
69,,0,,,,,,1.0,Conner Russell,,,,,
70,,1,,,,,,1.0,Conner Russell,,,,,
71,-0.02028278584013927,2,-0.4047033540964902,0.0011174676082196086,65.8553949680166,6.459053037754671,22.0,,Conner Russell,137.1124496467193,0.613860959699449,0.0,0.22822767664498209,0.8112090340709756
72,,0,0.652631021630316,,59.52105346755452,2.498200487286676,4.0,,David Falzone,,0.41218812063842913,0.0,,
73,,1,0.0,,59.2,6.959999999999999,5.0,,David Falzone,,0.0,0.0,,
74,-0.060316300407498,2,-0.005451567540703673,-0.0,62.538399089466374,4.7204633343400175,9.0,,David Falzone,0.0,0.20672711601339955,0.0,-0.0,0.36902964220171186
75,,0,-0.0,,49.2,4.160000000000001,5.0,,Jeff Fiedler,,0.0,0.0,,
76,,1,,,51.0,3.559026084010437,3.0,,Jeff Fiedler,,,1.0,,
77,-0.0,2,-0.0,-0.0,53.86666666666667,10.315555555555557,30.0,,Jeff Fiedler,0.0,0.0,0.0,0.0,0.0
78,,0,,,,,,1.0,Joe Wharton,,,,,
79,,1,,,,,,1.0,Joe Wharton,,,,,
80,-0.0,2,0.0,-0.0,56.63333333333333,7.765555555555556,30.0,,Joe Wharton,0.0,0.0,0.0,-0.0,-0.0
81,,0,,,,,,1.0,Ari Freedman,,,,,
82,,1,2.0441584654065927,,53.68376230189011,5.178897846232179,4.0,,Ari Freedman,,0.5154247629256441,0.0,,
