**** Logging started on 24-Jul-19 14:02:41 ****
Units: MPH
Date,Time,Current,Min,Max,Ave
24-Jul-19,14:03:41,10.5,0.0,15.0,6.1
24-Jul-19,14:04:41,7.2,4.1,11.4,7.4
24-Jul-19,14:05:41,7.0,3.6,11.1,6.9
24-Jul-19,14:06:41,8.2,2.4,8.7,6.4
24-Jul-19,14:07:41,4.3,2.3,7.7,4.3
24-Jul-19,14:08:41,5.9,3.5,11.7,6.4
24-Jul-19,14:09:41,0.0,0.0,8.3,5.1
24-Jul-19,14:10:41,10.0,0.0,12.2,5.6
24-Jul-19,14:11:41,4.7,3.5,10.7,7.3
24-Jul-19,14:12:41,4.6,3.7,7.8,5.3
24-Jul-19,14:13:41,7.3,2.2,8.4,5.2
24-Jul-19,14:14:41,11.1,5.1,12.3,8.3
24-Jul-19,14:15:41,0.0,0.0,11.2,5.9
24-Jul-19,14:16:41,2.9,2.2,8.2,4.7
24-Jul-19,14:17:41,4.1,0.0,5.1,3.4
24-Jul-19,14:18:41,4.3,2.3,7.9,4.5
24-Jul-19,14:19:41,4.4,0.0,7.5,3.9
24-Jul-19,14:20:41,4.0,0.0,8.6,4.2
24-Jul-19,14:21:41,3.7,0.0,6.3,3.8
24-Jul-19,14:22:41,4.5,0.0,13.9,5.1
24-Jul-19,14:23:41,11.6,3.9,11.6,6.2
24-Jul-19,14:24:41,8.5,6.4,13.3,10.4
24-Jul-19,14:25:41,6.7,0.0,8.6,6.1
24-Jul-19,14:26:41,6.5,2.5,9.7,5.0
24-Jul-19,14:27:41,2.4,2.4,8.4,5.1
24-Jul-19,14:28:41,4.2,0.0,7.8,4.0
24-Jul-19,14:29:41,5.9,2.1,8.2,4.6
24-Jul-19,14:30:41,2.2,2.1,6.0,3.9
24-Jul-19,14:31:41,5.8,0.0,7.7,4.4
24-Jul-19,14:32:41,5.1,0.0,7.9,4.8
24-Jul-19,14:33:41,2.4,0.0,7.3,4.4
24-Jul-19,14:34:41,7.4,0.0,10.9,5.1
24-Jul-19,14:35:41,2.9,2.9,8.7,5.7
24-Jul-19,14:36:41,0.0,0.0,3.5,2.7
24-Jul-19,14:37:41,4.7,2.0,9.6,4.3
24-Jul-19,14:38:41,2.4,2.1,4.9,4.1
24-Jul-19,14:39:41,4.2,0.0,6.8,3.8
24-Jul-19,14:40:41,2.5,0.0,4.8,3.1
24-Jul-19,14:41:41,2.5,2.0,6.5,3.6
24-Jul-19,14:42:41,4.5,2.4,10.7,5.2
24-Jul-19,14:43:41,2.1,2.0,5.7,4.0
24-Jul-19,14:44:41,4.4,0.0,4.9,2.5
24-Jul-19,14:45:41,3.7,2.0,5.7,3.6
24-Jul-19,14:46:41,3.7,2.5,5.8,3.9
24-Jul-19,14:47:41,3.7,0.0,4.0,2.9
24-Jul-19,14:48:41,4.0,0.0,5.8,2.9
24-Jul-19,14:49:41,4.1,0.0,5.1,2.7
24-Jul-19,14:50:41,4.2,2.7,5.5,3.8
24-Jul-19,14:51:41,2.9,2.2,4.9,3.4
24-Jul-19,14:52:41,4.1,2.1,7.0,4.1
24-Jul-19,14:53:41,1.9,0.0,5.1,2.7
24-Jul-19,14:54:41,2.4,0.0,4.6,2.2
24-Jul-19,14:55:41,2.1,2.1,7.7,3.6
24-Jul-19,14:56:41,3.6,0.0,4.0,2.7
24-Jul-19,14:57:41,0.0,0.0,4.5,3.0
24-Jul-19,14:58:41,3.2,0.0,3.9,2.7
24-Jul-19,14:59:41,1.5,0.0,6.6,4.2
24-Jul-19,15:00:41,2.4,0.0,4.6,3.0
24-Jul-19,15:01:41,2.2,0.0,3.9,2.9
24-Jul-19,15:02:41,0.0,0.0,4.6,2.8
24-Jul-19,15:03:41,4.6,0.0,9.9,3.4
24-Jul-19,15:04:41,3.1,2.2,5.6,4.5
24-Jul-19,15:05:41,4.9,2.8,7.6,4.6
24-Jul-19,15:06:41,0.0,0.0,5.1,3.6
**** Logging started on 24-Jul-19 15:07:28 ****
Units: MPH
Date,Time,Current,Min,Max,Ave
24-Jul-19,15:08:28,5.0,0.0,5.3,2.2
24-Jul-19,15:09:28,5.2,0.0,5.6,3.3
24-Jul-19,15:10:28,3.0,0.0,5.1,4.0
24-Jul-19,15:11:28,3.2,0.0,3.4,1.8
24-Jul-19,15:12:28,3.3,0.0,4.2,2.1
24-Jul-19,15:13:28,0.0,0.0,3.3,2.0
24-Jul-19,15:14:28,0.0,0.0,2.4,0.6
24-Jul-19,15:15:28,2.3,0.0,5.9,2.2
24-Jul-19,15:16:28,1.9,0.0,4.4,2.1
24-Jul-19,15:17:28,0.0,0.0,3.8,1.7
24-Jul-19,15:18:28,3.5,0.0,3.7,2.3
24-Jul-19,15:19:28,3.4,2.1,6.5,4.0
24-Jul-19,15:20:28,2.1,0.0,3.5,2.1
24-Jul-19,15:21:28,3.3,0.0,6.6,2.2
24-Jul-19,15:22:28,4.2,2.2,5.6,3.1
24-Jul-19,15:23:28,5.1,2.8,6.2,4.2
24-Jul-19,15:24:28,1.5,0.0,5.0,2.9
24-Jul-19,15:25:28,2.2,0.0,4.0,2.0
24-Jul-19,15:26:28,0.0,0.0,3.5,2.4
24-Jul-19,15:27:28,0.0,0.0,4.8,1.4
24-Jul-19,15:28:28,2.1,0.0,3.0,1.2
24-Jul-19,15:29:28,1.5,0.0,2.2,1.0
24-Jul-19,15:30:28,1.5,0.0,2.4,1.0
24-Jul-19,15:31:28,1.6,0.0,3.0,1.5
24-Jul-19,15:32:28,0.0,0.0,2.9,1.4
24-Jul-19,15:33:28,0.0,0.0,3.2,0.9
24-Jul-19,15:34:28,2.4,0.0,2.4,0.3
24-Jul-19,15:35:28,0.0,0.0,3.6,1.9
24-Jul-19,15:36:28,3.5,0.0,4.0,1.9
24-Jul-19,15:37:28,0.0,0.0,3.2,1.9
24-Jul-19,15:38:28,0.0,0.0,4.1,1.2
24-Jul-19,15:39:28,0.0,0.0,2.4,0.3
24-Jul-19,15:40:28,1.5,0.0,4.7,1.2
24-Jul-19,15:41:28,1.6,0.0,2.9,1.2
24-Jul-19,15:42:28,1.6,0.0,3.1,1.7
24-Jul-19,15:43:28,2.9,0.0,3.2,1.5
24-Jul-19,15:44:28,3.1,0.0,5.0,2.8
24-Jul-19,15:45:28,0.0,0.0,4.6,1.2
24-Jul-19,15:46:28,0.0,0.0,2.4,0.4
24-Jul-19,15:47:28,0.0,0.0,5.8,2.2
24-Jul-19,15:48:28,5.0,0.0,5.0,1.8
24-Jul-19,15:49:28,3.8,0.0,6.0,2.9
24-Jul-19,15:50:28,5.6,0.0,5.8,2.8
24-Jul-19,15:51:28,2.3,0.0,5.3,3.9
24-Jul-19,15:52:28,3.1,0.0,3.9,3.1
24-Jul-19,15:53:28,3.8,1.9,4.0,2.7
24-Jul-19,15:54:28,4.6,3.2,5.4,3.9
24-Jul-19,15:55:28,3.5,1.8,5.2,4.0
24-Jul-19,15:56:28,5.1,2.5,5.3,3.6
24-Jul-19,15:57:28,4.1,0.0,5.1,3.7
24-Jul-19,15:58:28,3.5,0.0,5.1,3.1
24-Jul-19,15:59:28,2.9,2.9,5.5,3.8
24-Jul-19,16:00:28,2.4,2.3,4.2,3.5
24-Jul-19,16:01:28,2.4,0.0,4.6,3.2
