**** Logging started on 30-Jul-19 11:48:11 ****,,,,,
Units: MPH,,,,,
Date,Time,Current,Min,Max,Ave
30-Jul-19,11:49:11,0,0,3,1.4
30-Jul-19,11:50:11,0,0,3.1,1.5
30-Jul-19,11:50:43,1.6,0,1.9,1.1
**********************************************,,,,,
**** Logging started on 30-Jul-19 11:51:10 ****,,,,,
Units: MPH,,,,,
Date,Time,Current,Min,Max,Ave
30-Jul-19,11:52:10,1.7,0,3.4,0.8
30-Jul-19,11:52:10,1.7,0,0,0.8
**********************************************,,,,,
**** Logging started on 30-Jul-19 11:52:35 ****,,,,,
Units: MPH,,,,,
Date,Time,Current,Min,Max,Ave
30-Jul-19,11:53:35,0,0,3.5,0.8
30-Jul-19,11:54:35,0,0,3,1.6
30-Jul-19,11:55:35,4.3,0,4.3,0.8
30-Jul-19,11:56:35,0,0,4.5,0.9
30-Jul-19,11:57:35,0,0,3,0.6
30-Jul-19,11:57:45,0,0,1.4,0.6
**********************************************,,,,,
**** Logging started on 30-Jul-19 12:00:04 ****,,,,,
Units: MPH,,,,,
Date,Time,Current,Min,Max,Ave
30-Jul-19,12:01:04,0,0,2.9,0.7
30-Jul-19,12:02:04,0,0,1.7,0.2
30-Jul-19,12:03:04,0,0,3.2,1
30-Jul-19,12:03:42,0,0,1.8,0.6
**********************************************,,,,,
**** Logging started on 30-Jul-19 12:07:15 ****,,,,,
Units: MPH,,,,,
Date,Time,Current,Min,Max,Ave
30-Jul-19,12:08:15,0,0,3.5,1.1
30-Jul-19,12:09:15,0,0,4.5,1.9
30-Jul-19,12:10:15,0,0,2.9,0.9
30-Jul-19,12:10:17,0,0,0,0.9
**********************************************,,,,,
**** Logging started on 30-Jul-19 12:12:29 ****,,,,,
Units: MPH,,,,,
Date,Time,Current,Min,Max,Ave
**** Logging started on 30-Jul-19 12:12:37 ****,,,,,
Units: MPH,,,,,
Date,Time,Current,Min,Max,Ave
30-Jul-19,12:13:37,3.9,0,4.9,3.1
30-Jul-19,12:14:37,0,0,6.5,2.4
30-Jul-19,12:15:37,3.6,0,3.6,1
30-Jul-19,12:16:37,2,0,3.8,1.4
30-Jul-19,12:17:37,1.5,0,5.4,1.9
30-Jul-19,12:18:37,2.2,0,7,3
30-Jul-19,12:19:37,0,0,5.8,1.8
30-Jul-19,12:20:36,2.8,0,4.4,2
**********************************************,,,,,
**** Logging started on 30-Jul-19 12:22:03 ****,,,,,
Units: MPH,,,,,
Date,Time,Current,Min,Max,Ave
30-Jul-19,12:23:03,0,0,3.7,2.9
30-Jul-19,12:24:03,1.3,0,4,1.9
30-Jul-19,12:25:03,3.5,0,3.6,1.1
30-Jul-19,12:26:03,2,0,5.5,2.1
30-Jul-19,12:27:03,1.5,0,5.2,2.5
30-Jul-19,12:28:03,3.3,0,4.5,1.9
30-Jul-19,12:29:03,0,0,3.2,1.2
30-Jul-19,12:29:48,0,0,3.5,1
**********************************************,,,,,
**** Logging started on 30-Jul-19 12:30:13 ****,,,,,
Units: MPH,,,,,
Date,Time,Current,Min,Max,Ave
30-Jul-19,12:31:13,0,0,4.6,3
30-Jul-19,12:32:13,0,0,4.1,2.4
30-Jul-19,12:33:13,2.4,0,3,0.4
30-Jul-19,12:33:19,2,1.9,2.4,0.4
**********************************************,,,,,
**** Logging started on 30-Jul-19 12:34:13 ****,,,,,
Units: MPH,,,,,
Date,Time,Current,Min,Max,Ave
30-Jul-19,12:35:13,2.5,0,2.8,0.3
30-Jul-19,12:35:33,2.1,0,2.7,0.8
**********************************************,,,,,
**** Logging started on 30-Jul-19 12:36:34 ****,,,,,
Units: MPH,,,,,
Date,Time,Current,Min,Max,Ave
30-Jul-19,12:37:34,1.9,0,3.4,1.2
30-Jul-19,12:38:26,0,0,4.8,1
**********************************************,,,,,
**** Logging started on 30-Jul-19 12:39:45 ****,,,,,
Units: MPH,,,,,
Date,Time,Current,Min,Max,Ave
30-Jul-19,12:40:45,0,0,2.5,0.1
30-Jul-19,12:41:45,2,0,2,0.2
30-Jul-19,12:42:45,3.6,0,3.6,1.7
30-Jul-19,12:43:45,0,0,3.5,0.9
30-Jul-19,12:44:45,4,0,6.3,2.2
30-Jul-19,12:45:45,0,0,3.8,0.7
30-Jul-19,12:46:45,0,0,2.4,0.1
30-Jul-19,12:47:45,2.1,0,2.6,0.8
30-Jul-19,12:48:45,0,0,2.5,0.7
30-Jul-19,12:49:45,0,0,3.2,0.5
30-Jul-19,12:50:45,2.3,0,2.8,1
30-Jul-19,12:51:45,0,0,3.6,1.2
30-Jul-19,12:51:46,0,0,0,1.2
**********************************************,,,,,
**** Logging started on 30-Jul-19 13:09:01 ****,,,,,
Units: MPH,,,,,
Date,Time,Current,Min,Max,Ave
