,time,T,w_dir,w_spd,w_gust,rh,precip
0,2019-07-25 22:50:00,,,,,,0.0
1,2019-07-23 23:59:00,60.1,198.0,12.1,14.8,92.0,0.0
2,2019-07-24 23:59:00,62.7,202.0,7.7,10.1,87.8,0.0
3,2019-07-25 22:49:00,59.8,213.0,11.5,14.7,93.5,0.0
4,2019-07-23 00:04:00,59.4,192.0,12.1,13.9,91.6,0.0
5,2019-07-23 00:09:00,59.4,188.0,11.6,13.4,92.0,0.0
6,2019-07-23 00:14:00,59.4,193.0,12.5,15.0,92.4,0.0
7,2019-07-23 00:19:00,59.4,194.0,12.5,15.5,93.8,0.0
8,2019-07-23 00:24:00,59.4,201.0,13.1,15.5,93.8,0.0
9,2019-07-23 00:29:00,59.3,197.0,13.8,16.8,94.5,0.0
10,2019-07-23 00:34:00,59.2,204.0,12.9,15.6,94.3,0.0
11,2019-07-23 00:39:00,59.1,199.0,13.6,15.0,94.3,0.0
12,2019-07-23 00:43:00,59.0,200.0,13.4,15.6,94.0,0.0
13,2019-07-23 00:49:00,58.8,194.0,14.3,16.0,94.0,0.0
14,2019-07-23 00:54:00,58.7,194.0,14.2,16.0,94.4,0.0
15,2019-07-23 00:59:00,58.6,194.0,13.4,15.6,94.3,0.0
16,2019-07-23 01:03:00,58.6,195.0,12.7,15.0,94.5,0.0
17,2019-07-23 01:09:00,58.5,195.0,13.9,16.8,94.0,0.0
18,2019-07-23 01:14:00,58.5,197.0,12.3,14.9,94.0,0.0
19,2019-07-23 01:19:00,58.5,194.0,11.4,13.4,94.0,0.0
20,2019-07-23 01:24:00,58.5,197.0,12.7,15.5,94.3,0.0
21,2019-07-23 01:29:00,58.5,208.0,13.2,15.5,94.0,0.0
22,2019-07-23 01:34:00,58.5,202.0,11.0,13.7,94.5,0.0
23,2019-07-23 01:39:00,58.5,193.0,11.7,14.3,94.3,0.0
24,2019-07-23 01:44:00,58.5,208.0,11.4,14.9,93.8,0.0
25,2019-07-23 01:49:00,58.5,182.0,7.9,9.0,93.3,0.0
26,2019-07-23 01:54:00,58.6,176.0,6.2,8.8,92.0,0.0
27,2019-07-23 01:59:00,58.6,166.0,5.9,7.4,91.2,0.0
28,2019-07-23 02:04:00,58.8,172.0,5.6,7.4,91.8,0.0
29,2019-07-23 02:09:00,59.0,189.0,5.1,8.2,92.3,0.0
30,2019-07-23 02:14:00,59.1,190.0,8.5,11.1,93.0,0.0
31,2019-07-23 02:19:00,59.2,198.0,9.6,12.3,93.0,0.0
32,2019-07-23 02:24:00,59.2,207.0,8.4,10.4,92.5,0.0
33,2019-07-23 02:29:00,59.2,181.0,4.9,7.4,92.0,0.0
34,2019-07-23 02:34:00,59.0,170.0,5.1,6.8,92.0,0.0
35,2019-07-23 02:39:00,59.0,166.0,3.8,6.4,92.0,0.0
36,2019-07-23 02:44:00,58.9,160.0,2.8,5.4,92.0,0.0
37,2019-07-23 02:49:00,58.8,136.0,2.6,4.9,91.8,0.0
38,2019-07-23 02:54:00,58.8,140.0,2.9,4.3,91.0,0.0
39,2019-07-23 02:58:00,58.8,131.0,3.3,5.5,91.0,0.0
40,2019-07-23 03:04:00,58.8,155.0,1.2,2.5,91.0,0.0
41,2019-07-23 03:09:00,58.8,188.0,3.5,4.4,91.2,0.0
42,2019-07-23 03:12:00,58.8,202.0,7.8,10.6,92.7,0.0
43,2019-07-23 03:19:00,58.8,199.0,9.3,11.7,93.3,0.0
44,2019-07-23 03:23:00,58.8,204.0,9.1,11.1,93.8,0.0
45,2019-07-23 03:29:00,58.8,202.0,10.3,12.3,94.0,0.0
46,2019-07-23 03:34:00,58.8,196.0,10.3,11.7,94.0,0.0
47,2019-07-23 03:39:00,58.7,193.0,10.1,12.3,94.0,0.0
