,time,T,w_dir,w_spd,w_gust,rh,precip
0,2018-05-12 00:01:00,66.0,247.0,4.0,11.0,33.0,0.0
1,2018-05-12 00:06:00,66.0,315.0,1.0,5.0,32.0,0.0
2,2018-05-12 00:11:00,66.0,270.0,15.0,15.0,32.0,0.0
3,2018-05-12 00:16:00,67.0,270.0,2.0,14.0,31.0,0.0
4,2018-05-12 00:21:00,67.0,292.0,8.0,8.0,31.0,0.0
5,2018-05-12 00:26:00,67.0,225.0,4.0,9.0,31.0,0.0
6,2018-05-12 00:31:00,67.0,225.0,2.0,5.0,31.0,0.0
7,2018-05-12 00:36:00,67.0,247.0,1.0,7.0,31.0,0.0
8,2018-05-12 00:41:00,66.0,225.0,5.0,7.0,31.0,0.0
9,2018-05-12 00:46:00,66.0,225.0,3.0,6.0,32.0,0.0
10,2018-05-12 00:51:00,66.0,247.0,0.0,4.0,32.0,0.0
11,2018-05-12 00:56:00,66.0,270.0,6.0,7.0,32.0,0.0
12,2018-05-12 01:01:00,66.0,270.0,3.0,6.0,32.0,0.0
13,2018-05-12 01:06:00,66.0,337.0,2.0,7.0,31.0,0.0
14,2018-05-12 01:11:00,66.0,270.0,0.0,5.0,31.0,0.0
15,2018-05-12 01:16:00,66.0,292.0,0.0,8.0,32.0,0.0
16,2018-05-12 01:21:00,66.0,315.0,5.0,5.0,31.0,0.0
17,2018-05-12 01:26:00,66.0,270.0,2.0,8.0,31.0,0.0
18,2018-05-12 01:31:00,66.0,270.0,4.0,4.0,31.0,0.0
19,2018-05-12 01:36:00,66.0,292.0,2.0,4.0,31.0,0.0
20,2018-05-12 01:41:00,66.0,315.0,0.0,3.0,31.0,0.0
21,2018-05-12 01:46:00,66.0,270.0,4.0,4.0,31.0,0.0
22,2018-05-12 01:51:00,66.0,315.0,1.0,5.0,31.0,0.0
23,2018-05-12 01:56:00,66.0,315.0,5.0,7.0,31.0,0.0
24,2018-05-12 02:01:00,66.0,315.0,4.0,6.0,31.0,0.0
25,2018-05-12 02:06:00,66.0,292.0,3.0,9.0,31.0,0.0
26,2018-05-12 02:11:00,66.0,270.0,3.0,3.0,31.0,0.0
27,2018-05-12 02:16:00,66.0,315.0,2.0,6.0,31.0,0.0
28,2018-05-12 02:21:00,66.0,292.0,0.0,3.0,31.0,0.0
29,2018-05-12 02:26:00,66.0,292.0,0.0,3.0,31.0,0.0
30,2018-05-12 02:31:00,66.0,337.0,2.0,2.0,31.0,0.0
31,2018-05-12 02:38:00,66.0,306.0,2.0,2.0,32.0,0.0
32,2018-05-12 02:43:00,66.0,270.0,0.0,2.0,32.0,0.0
33,2018-05-12 02:48:00,66.0,270.0,0.0,3.0,32.0,0.0
34,2018-05-12 02:53:00,65.0,292.0,1.0,2.0,33.0,0.0
35,2018-05-12 02:58:00,65.0,337.0,2.0,4.0,33.0,0.0
36,2018-05-12 03:03:00,66.0,337.0,4.0,4.0,33.0,0.0
37,2018-05-12 03:08:00,66.0,337.0,5.0,8.0,33.0,0.0
38,2018-05-12 03:13:00,65.0,315.0,7.0,8.0,33.0,0.0
39,2018-05-12 03:18:00,66.0,337.0,3.0,7.0,33.0,0.0
40,2018-05-12 03:23:00,66.0,315.0,3.0,6.0,33.0,0.0
41,2018-05-12 03:28:00,65.0,360.0,4.0,5.0,33.0,0.0
42,2018-05-12 03:33:00,65.0,337.0,3.0,5.0,33.0,0.0
