,time,T,w_dir,w_spd,w_gust,rh,precip
0,2018-04-13 00:01:00,46.0,113.0,0.0,,81.0,0.0
1,2018-04-13 00:06:00,46.0,113.0,0.0,,81.0,0.0
2,2018-04-13 00:11:00,46.0,135.0,0.0,,81.0,0.0
3,2018-04-13 00:16:00,46.0,158.0,0.0,,81.0,0.0
4,2018-04-13 00:21:00,46.0,135.0,0.0,,81.0,0.0
5,2018-04-13 00:26:00,45.0,158.0,0.0,,81.0,0.0
6,2018-04-13 00:31:00,45.0,135.0,0.0,,81.0,0.0
7,2018-04-13 00:36:00,45.0,135.0,0.0,,83.0,0.0
8,2018-04-13 00:41:00,45.0,158.0,0.0,,83.0,0.0
9,2018-04-13 00:46:00,45.0,180.0,0.0,,83.0,0.0
10,2018-04-13 00:51:00,45.0,180.0,0.0,,83.0,0.0
11,2018-04-13 00:56:00,45.0,113.0,0.0,,83.0,0.0
12,2018-04-13 01:03:00,45.0,180.0,0.0,,83.0,0.0
13,2018-04-13 01:09:00,45.0,113.0,0.0,,83.0,0.0
14,2018-04-13 01:15:00,45.0,135.0,0.0,,83.0,0.0
15,2018-04-13 01:20:00,45.0,158.0,0.0,,83.0,0.0
16,2018-04-13 01:25:00,45.0,113.0,0.0,,83.0,0.0
17,2018-04-13 01:30:00,45.0,180.0,0.0,,83.0,0.0
18,2018-04-13 01:35:00,44.0,180.0,0.0,,83.0,0.0
19,2018-04-13 01:40:00,44.0,180.0,0.0,,83.0,0.0
20,2018-04-13 01:45:00,44.0,180.0,0.0,,83.0,0.0
21,2018-04-13 01:53:00,44.0,158.0,0.0,,83.0,0.0
22,2018-04-13 01:58:00,44.0,180.0,0.0,,83.0,0.0
23,2018-04-13 02:04:00,44.0,135.0,0.0,,83.0,0.0
24,2018-04-13 02:09:00,44.0,158.0,0.0,,83.0,0.0
25,2018-04-13 02:14:00,44.0,135.0,0.0,,83.0,0.0
26,2018-04-13 02:17:00,44.0,158.0,0.0,,83.0,0.0
27,2018-04-13 02:22:00,44.0,180.0,0.0,,83.0,0.0
28,2018-04-13 02:25:00,44.0,158.0,0.0,,83.0,0.0
29,2018-04-13 02:30:00,44.0,158.0,0.0,,83.0,0.0
30,2018-04-13 02:35:00,44.0,158.0,0.0,,85.0,0.0
31,2018-04-13 02:40:00,43.0,180.0,0.0,,85.0,0.0
32,2018-04-13 02:45:00,43.0,158.0,0.0,,85.0,0.0
33,2018-04-13 02:50:00,43.0,158.0,0.0,,86.0,0.0
34,2018-04-13 02:55:00,43.0,180.0,0.0,,86.0,0.0
35,2018-04-13 03:00:00,43.0,180.0,0.0,,86.0,0.0
36,2018-04-13 03:05:00,43.0,113.0,0.0,,86.0,0.0
37,2018-04-13 03:11:00,43.0,158.0,0.0,,86.0,0.0
38,2018-04-13 03:16:00,43.0,158.0,0.0,,86.0,0.0
39,2018-04-13 03:21:00,43.0,135.0,0.0,,86.0,0.0
40,2018-04-13 03:26:00,43.0,135.0,0.0,,86.0,0.0
41,2018-04-13 03:31:00,43.0,180.0,0.0,,86.0,0.0
42,2018-04-13 03:36:00,43.0,113.0,0.0,,86.0,0.0
43,2018-04-13 03:41:00,43.0,158.0,0.0,,86.0,0.0
44,2018-04-13 03:46:00,44.0,158.0,0.0,,83.0,0.0
45,2018-04-13 03:51:00,44.0,158.0,0.0,,83.0,0.0
46,2018-04-13 03:56:00,44.0,180.0,0.0,,81.0,0.0
47,2018-04-13 04:02:00,45.0,180.0,0.0,,81.0,0.0
48,2018-04-13 04:07:00,44.0,180.0,0.0,,81.0,0.0
49,2018-04-13 04:12:00,44.0,158.0,0.0,,81.0,0.0
50,2018-04-13 04:17:00,43.0,113.0,0.0,,83.0,0.0
51,2018-04-13 04:22:00,43.0,180.0,0.0,,83.0,0.0
52,2018-04-13 04:27:00,43.0,158.0,0.0,,85.0,0.0
53,2018-04-13 04:32:00,43.0,113.0,0.0,,85.0,0.0
54,2018-04-13 04:37:00,43.0,158.0,0.0,,85.0,0.0
55,2018-04-13 04:43:00,44.0,180.0,0.0,,83.0,0.0
56,2018-04-13 04:48:00,44.0,135.0,1.0,,83.0,0.0
57,2018-04-13 04:54:00,44.0,135.0,1.0,,83.0,0.0
58,2018-04-13 04:59:00,44.0,113.0,0.0,,81.0,0.0
59,2018-04-13 05:04:00,44.0,180.0,0.0,,81.0,0.0
60,2018-04-13 05:08:00,44.0,158.0,0.0,,81.0,0.0
61,2018-04-13 05:13:00,44.0,68.0,0.0,,83.0,0.0
62,2018-04-13 05:16:00,43.0,158.0,0.0,,83.0,0.0
63,2018-04-13 05:21:00,43.0,135.0,0.0,,83.0,0.0
64,2018-04-13 05:26:00,43.0,180.0,0.0,,83.0,0.0
65,2018-04-13 05:31:00,43.0,113.0,0.0,,85.0,0.0
66,2018-04-13 05:37:00,43.0,158.0,0.0,,85.0,0.0
