,time,T,w_dir,w_spd,w_gust,rh,precip
0,2018-12-16 07:05:22,59.0,128.0,3.0,11.0,81.0,0.0
1,2018-12-16 07:10:21,59.0,124.0,3.0,11.0,81.0,0.0
2,2018-12-16 07:15:14,58.0,126.0,3.0,3.0,81.0,0.0
3,2018-12-16 07:20:13,58.0,123.0,3.0,11.0,81.0,0.0
4,2018-12-16 07:25:11,58.0,96.0,3.0,3.0,81.0,0.0
5,2018-12-16 07:30:10,58.0,159.0,2.0,11.0,81.0,0.0
6,2018-12-16 07:35:08,58.0,76.0,2.0,11.0,81.0,0.0
7,2018-12-16 07:40:07,58.0,138.0,3.0,11.0,81.0,0.0
8,2018-12-16 07:45:05,58.0,115.0,3.0,3.0,80.0,0.0
9,2018-12-16 07:50:20,58.0,127.0,2.0,11.0,80.0,0.0
10,2018-12-16 07:55:19,58.0,92.0,3.0,11.0,80.0,0.0
11,2018-12-16 08:00:18,58.0,111.0,4.0,11.0,80.0,0.0
12,2018-12-16 08:05:15,59.0,96.0,4.0,11.0,80.0,0.0
13,2018-12-16 08:10:13,59.0,88.0,4.0,4.0,80.0,0.0
14,2018-12-16 08:15:11,59.0,128.0,3.0,11.0,80.0,0.0
15,2018-12-16 08:20:05,59.0,113.0,3.0,11.0,80.0,0.0
16,2018-12-16 08:25:04,59.0,160.0,4.0,11.0,80.0,0.0
17,2018-12-16 08:30:23,59.0,145.0,3.0,11.0,80.0,0.0
18,2018-12-16 08:35:21,59.0,111.0,3.0,11.0,80.0,0.0
19,2018-12-16 08:40:19,59.0,130.0,4.0,4.0,80.0,0.0
20,2018-12-16 08:45:17,59.0,122.0,2.0,11.0,80.0,0.0
21,2018-12-16 08:50:12,59.0,137.0,2.0,11.0,80.0,0.0
22,2018-12-16 08:55:11,59.0,115.0,2.0,11.0,80.0,0.0
23,2018-12-16 09:00:09,59.0,130.0,2.0,11.0,80.0,0.0
24,2018-12-16 09:05:08,59.0,119.0,2.0,11.0,80.0,0.0
25,2018-12-16 09:10:06,59.0,113.0,3.0,11.0,80.0,0.0
26,2018-12-16 09:15:03,59.0,121.0,4.0,11.0,80.0,0.0
27,2018-12-16 09:20:18,59.0,142.0,4.0,4.0,80.0,0.0
