,time,T,w_dir,w_spd,w_gust,rh,precip
0,2017-11-25 00:04:00,61.0,71.0,0.0,0.0,75.0,0.0
1,2017-11-25 00:09:00,61.0,71.0,0.0,0.0,75.0,0.0
2,2017-11-25 00:14:00,61.0,71.0,0.0,0.0,76.0,0.0
3,2017-11-25 00:20:00,61.0,71.0,0.0,0.0,76.0,0.0
4,2017-11-25 00:25:00,61.0,71.0,0.0,0.0,75.0,0.0
5,2017-11-25 00:30:00,61.0,71.0,0.0,0.0,75.0,0.0
6,2017-11-25 00:36:00,61.0,71.0,0.0,0.0,78.0,0.0
7,2017-11-25 00:41:00,61.0,71.0,0.0,0.0,80.0,0.0
8,2017-11-25 00:46:00,61.0,71.0,0.0,0.0,81.0,0.0
9,2017-11-25 00:51:00,60.0,71.0,0.0,0.0,82.0,0.0
10,2017-11-25 00:57:00,60.0,71.0,0.0,0.0,82.0,0.0
11,2017-11-25 01:02:00,60.0,71.0,0.0,0.0,81.0,0.0
12,2017-11-25 01:07:00,60.0,71.0,0.0,0.0,80.0,0.0
13,2017-11-25 01:13:00,60.0,71.0,0.0,0.0,80.0,0.0
14,2017-11-25 01:18:00,60.0,71.0,0.0,0.0,79.0,0.0
15,2017-11-25 01:24:00,60.0,71.0,0.0,0.0,77.0,0.0
16,2017-11-25 01:29:00,60.0,71.0,0.0,0.0,78.0,0.0
17,2017-11-25 01:34:00,59.0,71.0,0.0,0.0,78.0,0.0
18,2017-11-25 01:39:00,59.0,71.0,0.0,0.0,80.0,0.0
19,2017-11-25 01:45:00,59.0,71.0,0.0,0.0,81.0,0.0
20,2017-11-25 01:50:00,59.0,71.0,0.0,0.0,82.0,0.0
21,2017-11-25 01:56:00,59.0,71.0,0.0,0.0,85.0,0.0
22,2017-11-25 02:01:00,59.0,71.0,0.0,0.0,86.0,0.0
23,2017-11-25 02:06:00,59.0,71.0,0.0,0.0,87.0,0.0
24,2017-11-25 02:12:00,59.0,71.0,0.0,0.0,87.0,0.0
25,2017-11-25 02:17:00,59.0,71.0,0.0,0.0,88.0,0.0
26,2017-11-25 02:22:00,58.0,71.0,0.0,0.0,88.0,0.0
27,2017-11-25 02:28:00,58.0,71.0,0.0,0.0,89.0,0.0
28,2017-11-25 02:38:00,57.0,71.0,0.0,0.0,91.0,0.0
29,2017-11-25 02:44:00,57.0,71.0,0.0,0.0,90.0,0.0
30,2017-11-25 02:49:00,56.0,72.0,0.0,0.0,92.0,0.0
31,2017-11-25 02:54:00,56.0,72.0,0.0,0.0,92.0,0.0
32,2017-11-25 03:00:00,56.0,72.0,0.0,0.0,91.0,0.0
33,2017-11-25 03:05:00,56.0,72.0,0.0,0.0,91.0,0.0
34,2017-11-25 03:10:00,55.0,71.0,0.0,0.0,91.0,0.0
35,2017-11-25 03:15:00,55.0,71.0,0.0,0.0,91.0,0.0
36,2017-11-25 03:21:00,55.0,71.0,0.0,0.0,91.0,0.0
37,2017-11-25 03:26:00,55.0,71.0,0.0,0.0,92.0,0.0
38,2017-11-25 03:31:00,55.0,72.0,0.0,0.0,93.0,0.0
39,2017-11-25 03:36:00,55.0,72.0,0.0,0.0,91.0,0.0
40,2017-11-25 03:41:00,55.0,71.0,0.0,0.0,89.0,0.0
41,2017-11-25 03:46:00,55.0,71.0,0.0,0.0,88.0,0.0
42,2017-11-25 03:52:00,55.0,72.0,0.0,0.0,88.0,0.0
43,2017-11-25 03:57:00,55.0,72.0,0.0,0.0,88.0,0.0
44,2017-11-25 04:02:00,55.0,72.0,0.0,0.0,88.0,0.0
45,2017-11-25 04:07:00,55.0,71.0,0.0,0.0,88.0,0.0
46,2017-11-25 04:12:00,55.0,72.0,0.0,0.0,89.0,0.0
47,2017-11-25 04:17:00,55.0,72.0,0.0,0.0,88.0,0.0
48,2017-11-25 04:22:00,55.0,71.0,0.0,0.0,88.0,0.0
49,2017-11-25 04:28:00,55.0,71.0,0.0,0.0,88.0,0.0
50,2017-11-25 04:34:00,55.0,71.0,0.0,0.0,87.0,0.0
51,2017-11-25 04:39:00,55.0,71.0,0.0,0.0,87.0,0.0
52,2017-11-25 04:44:00,55.0,71.0,0.0,0.0,87.0,0.0
53,2017-11-25 04:49:00,55.0,71.0,0.0,0.0,88.0,0.0
54,2017-11-25 04:54:00,55.0,71.0,0.0,0.0,88.0,0.0
55,2017-11-25 05:00:00,55.0,71.0,0.0,0.0,88.0,0.0
56,2017-11-25 05:05:00,55.0,72.0,0.0,0.0,88.0,0.0
57,2017-11-25 05:10:00,55.0,71.0,0.0,0.0,89.0,0.0
58,2017-11-25 05:15:00,55.0,72.0,0.0,0.0,89.0,0.0
59,2017-11-25 05:21:00,55.0,72.0,0.0,0.0,90.0,0.0
60,2017-11-25 05:26:00,55.0,71.0,0.0,0.0,90.0,0.0
61,2017-11-25 05:31:00,55.0,71.0,0.0,0.0,90.0,0.0
62,2017-11-25 05:37:00,54.0,71.0,0.0,0.0,90.0,0.0
63,2017-11-25 05:42:00,54.0,72.0,0.0,0.0,91.0,0.0
64,2017-11-25 05:47:00,54.0,72.0,0.0,0.0,92.0,0.0
65,2017-11-25 05:53:00,54.0,72.0,0.0,0.0,92.0,0.0
66,2017-11-25 05:58:00,54.0,72.0,0.0,0.0,92.0,0.0
67,2017-11-25 06:03:00,54.0,72.0,0.0,0.0,92.0,0.0
68,2017-11-25 06:09:00,53.0,72.0,0.0,0.0,92.0,0.0
69,2017-11-25 06:14:00,53.0,72.0,0.0,0.0,92.0,0.0
70,2017-11-25 06:19:00,53.0,72.0,0.0,0.0,93.0,0.0
71,2017-11-25 06:24:00,53.0,72.0,0.0,0.0,94.0,0.0
72,2017-11-25 06:29:00,53.0,72.0,0.0,0.0,93.0,0.0
73,2017-11-25 06:35:00,53.0,71.0,0.0,0.0,93.0,0.0
74,2017-11-25 06:40:00,53.0,72.0,0.0,0.0,95.0,0.0
75,2017-11-25 06:45:00,52.0,72.0,0.0,0.0,95.0,0.0
76,2017-11-25 06:50:00,52.0,72.0,0.0,0.0,95.0,0.0
77,2017-11-25 06:55:00,52.0,72.0,0.0,0.0,95.0,0.0
78,2017-11-25 07:01:00,52.0,72.0,0.0,0.0,95.0,0.0
79,2017-11-25 07:06:00,51.0,72.0,0.0,0.0,95.0,0.0
80,2017-11-25 07:11:00,51.0,72.0,0.0,0.0,95.0,0.0
81,2017-11-25 07:16:00,51.0,72.0,0.0,0.0,96.0,0.0
82,2017-11-25 07:21:00,51.0,72.0,0.0,0.0,96.0,0.0
83,2017-11-25 07:26:00,51.0,72.0,0.0,0.0,96.0,0.0
84,2017-11-25 07:31:00,51.0,72.0,0.0,0.0,96.0,0.0
85,2017-11-25 07:36:00,51.0,72.0,0.0,0.0,96.0,0.0
86,2017-11-25 07:41:00,52.0,71.0,0.0,0.0,96.0,0.0
87,2017-11-25 07:46:00,52.0,71.0,0.0,0.0,96.0,0.0
88,2017-11-25 07:51:00,53.0,71.0,0.0,0.0,97.0,0.0
89,2017-11-25 07:56:00,53.0,71.0,0.0,0.0,96.0,0.0
90,2017-11-25 08:01:00,53.0,71.0,0.0,0.0,96.0,0.0
91,2017-11-25 08:06:00,54.0,71.0,0.0,0.0,96.0,0.0
92,2017-11-25 08:12:00,54.0,71.0,0.0,0.0,96.0,0.0
93,2017-11-25 08:17:00,55.0,71.0,0.0,0.0,97.0,0.0
94,2017-11-25 08:22:00,55.0,71.0,0.0,0.0,96.0,0.0
95,2017-11-25 08:27:00,56.0,71.0,0.0,0.0,96.0,0.0
96,2017-11-25 08:32:00,56.0,71.0,0.0,0.0,94.0,0.0
97,2017-11-25 08:37:00,57.0,71.0,0.0,0.0,92.0,0.0
98,2017-11-25 08:42:00,57.0,71.0,0.0,0.0,89.0,0.0
99,2017-11-25 08:47:00,58.0,71.0,0.0,0.0,85.0,0.0
100,2017-11-25 08:52:00,59.0,71.0,0.0,0.0,82.0,0.0
101,2017-11-25 08:57:00,59.0,71.0,0.0,0.0,80.0,0.0
102,2017-11-25 09:02:00,60.0,71.0,0.0,0.0,77.0,0.0
